xflr5 v6.57

Plane name :        R23_01_006_202_PP02_216in_AR_15,02
Polar name :        T1-12.0 m/s-VLM2
Freestream speed :  12.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000   0.604919   0.008263   0.039471   0.047734   0.000000   0.000000  -0.541753   0.000000  -0.000000   12.0000     0.3377
   -4.750     0.000   0.628567   0.008906   0.037972   0.046877   0.000000   0.000000  -0.550640   0.000000  -0.000000   12.0000     0.3299
   -4.500     0.000   0.652199   0.009572   0.036575   0.046147   0.000000   0.000000  -0.559513   0.000000  -0.000000   12.0000     0.3228
   -4.250     0.000   0.675814   0.010262   0.034353   0.044615   0.000000   0.000000  -0.568393   0.000000  -0.000000   12.0000     0.3161
   -4.000     0.000   0.699412   0.010977   0.032102   0.043079   0.000000   0.000000  -0.577260   0.000000  -0.000000   12.0000     0.3099
   -3.750     0.000   0.722993   0.011715   0.030207   0.041922   0.000000   0.000000  -0.586105   0.000000  -0.000000   12.0000     0.3041
   -3.500     0.000   0.746554   0.012478   0.028340   0.040818   0.000000   0.000000  -0.594936   0.000000  -0.000000   12.0000     0.2987
   -3.250     0.000   0.770096   0.013264   0.026424   0.039687   0.000000   0.000000  -0.603752   0.000000   0.000000   12.0000     0.2936
   -3.000     0.000   0.793618   0.014073   0.024730   0.038803   0.000000   0.000000  -0.612550   0.000000   0.000000   12.0000     0.2888
   -2.750     0.000   0.817119   0.014906   0.023310   0.038217   0.000000   0.000000  -0.621329   0.000000   0.000000   12.0000     0.2843
   -2.500     0.000   0.840598   0.015763   0.021923   0.037686   0.000000   0.000000  -0.630092   0.000000   0.000000   12.0000     0.2801
   -2.250     0.000   0.864055   0.016643   0.020834   0.037477   0.000000   0.000000  -0.638834   0.000000   0.000000   12.0000     0.2760
   -2.000     0.000   0.887488   0.017546   0.019896   0.037442   0.000000   0.000000  -0.647560   0.000000   0.000000   12.0000     0.2722
   -1.750     0.000   0.910897   0.018473   0.019102   0.037574   0.000000   0.000000  -0.656268   0.000000   0.000000   12.0000     0.2686
   -1.500     0.000   0.934281   0.019422   0.018496   0.037919   0.000000   0.000000  -0.664959   0.000000   0.000000   12.0000     0.2652
   -1.250     0.000   0.957640   0.020395   0.017964   0.038358   0.000000   0.000000  -0.673633   0.000000   0.000000   12.0000     0.2619
   -1.000     0.000   0.980973   0.021390   0.017493   0.038883   0.000000   0.000000  -0.682291   0.000000   0.000000   12.0000     0.2588
   -0.750     0.000   1.004278   0.022408   0.017031   0.039439   0.000000   0.000000  -0.690933   0.000000   0.000000   12.0000     0.2559
   -0.500     0.000   1.027556   0.023448   0.016649   0.040098   0.000000   0.000000  -0.699557   0.000000   0.000000   12.0000     0.2531
   -0.250     0.000   1.050805   0.024511   0.016339   0.040851   0.000000   0.000000  -0.708164   0.000000   0.000000   12.0000     0.2504
    0.000     0.000   1.074025   0.025596   0.016062   0.041659   0.000000   0.000000  -0.716752   0.000000   0.000000   12.0000     0.2478
    0.250     0.000   1.097215   0.026704   0.015805   0.042508   0.000000   0.000000  -0.725323   0.000000   0.000000   12.0000     0.2453
    0.500     0.000   1.120374   0.027833   0.015645   0.043478   0.000000   0.000000  -0.733875   0.000000   0.000000   12.0000     0.2430
    0.750     0.000   1.143501   0.028984   0.015568   0.044552   0.000000   0.000000  -0.742408   0.000000   0.000000   12.0000     0.2407
    1.000     0.000   1.166597   0.030157   0.015577   0.045734   0.000000   0.000000  -0.750921   0.000000   0.000000   12.0000     0.2385
    1.250     0.000   1.189659   0.031351   0.015616   0.046968   0.000000   0.000000  -0.759415   0.000000   0.000000   12.0000     0.2365
    1.500     0.000   1.212688   0.032567   0.015662   0.048229   0.000000   0.000000  -0.767888   0.000000   0.000000   12.0000     0.2345
