xflr5 v6.57

Plane name :        R23_02_203_202_PP02_216in_AR_15,02
Polar name :        T1-12.0 m/s-VLM2
Freestream speed :  12.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000   0.641472   0.009052   0.034182   0.043234   0.000000   0.000000  -0.568088   0.000000  -0.000000   12.0000     0.3337
   -4.750     0.000   0.665098   0.009727   0.031902   0.041629   0.000000   0.000000  -0.577005   0.000000  -0.000000   12.0000     0.3266
   -4.500     0.000   0.688707   0.010425   0.030247   0.040672   0.000000   0.000000  -0.585891   0.000000  -0.000000   12.0000     0.3199
   -4.250     0.000   0.712299   0.011147   0.028813   0.039960   0.000000   0.000000  -0.594760   0.000000  -0.000000   12.0000     0.3137
   -4.000     0.000   0.735873   0.011893   0.027422   0.039316   0.000000   0.000000  -0.603615   0.000000  -0.000000   12.0000     0.3079
   -3.750     0.000   0.759428   0.012663   0.026075   0.038738   0.000000   0.000000  -0.612455   0.000000  -0.000000   12.0000     0.3025
   -3.500     0.000   0.782964   0.013457   0.024781   0.038238   0.000000   0.000000  -0.621281   0.000000  -0.000000   12.0000     0.2973
   -3.250     0.000   0.806479   0.014274   0.023526   0.037801   0.000000   0.000000  -0.630091   0.000000   0.000000   12.0000     0.2925
   -3.000     0.000   0.829972   0.015115   0.022312   0.037427   0.000000   0.000000  -0.638886   0.000000   0.000000   12.0000     0.2880
   -2.750     0.000   0.853444   0.015980   0.021112   0.037092   0.000000   0.000000  -0.647666   0.000000   0.000000   12.0000     0.2837
   -2.500     0.000   0.876893   0.016867   0.020086   0.036954   0.000000   0.000000  -0.656427   0.000000   0.000000   12.0000     0.2796
   -2.250     0.000   0.900318   0.017779   0.019255   0.037034   0.000000   0.000000  -0.665169   0.000000   0.000000   12.0000     0.2758
   -2.000     0.000   0.923719   0.018713   0.018532   0.037245   0.000000   0.000000  -0.673893   0.000000   0.000000   12.0000     0.2722
   -1.750     0.000   0.947095   0.019670   0.017861   0.037531   0.000000   0.000000  -0.682601   0.000000   0.000000   12.0000     0.2687
   -1.500     0.000   0.970446   0.020650   0.017492   0.038142   0.000000   0.000000  -0.691289   0.000000   0.000000   12.0000     0.2654
   -1.250     0.000   0.993770   0.021653   0.017194   0.038847   0.000000   0.000000  -0.699960   0.000000   0.000000   12.0000     0.2623
   -1.000     0.000   1.017066   0.022679   0.016932   0.039611   0.000000   0.000000  -0.708615   0.000000   0.000000   12.0000     0.2593
   -0.750     0.000   1.040335   0.023727   0.016651   0.040379   0.000000   0.000000  -0.717253   0.000000   0.000000   12.0000     0.2564
   -0.500     0.000   1.063575   0.024798   0.016426   0.041225   0.000000   0.000000  -0.725872   0.000000   0.000000   12.0000     0.2537
