xflr5 v6.57

Plane name :        R23_LR315_120in_AR7,99
Polar name :        T1-12.0 m/s-VLM2
Freestream speed :  12.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000   0.546872   0.011992   0.056321   0.068313   0.000000   0.000000  -0.514944   0.000000   0.000000   12.0000     0.3732
   -4.500     0.000   0.588687   0.013894   0.052028   0.065922   0.000000   0.000000  -0.531085   0.000000   0.000000   12.0000     0.3567
   -4.000     0.000   0.630434   0.015934   0.047270   0.063204   0.000000   0.000000  -0.547180   0.000000   0.000000   12.0000     0.3424
   -3.500     0.000   0.672105   0.018112   0.043853   0.061965   0.000000   0.000000  -0.563191   0.000000   0.000000   12.0000     0.3299
   -3.000     0.000   0.713694   0.020427   0.039949   0.060376   0.000000   0.000000  -0.579151   0.000000   0.000000   12.0000     0.3189
   -2.500     0.000   0.755195   0.022878   0.035892   0.058770   0.000000   0.000000  -0.595052   0.000000   0.000000   12.0000     0.3091
   -2.000     0.000   0.796601   0.025464   0.031976   0.057440   0.000000   0.000000  -0.610885   0.000000   0.000000   12.0000     0.3003
   -1.500     0.000   0.837904   0.028183   0.026172   0.054355   0.000000   0.000000  -0.626664   0.000000   0.000000   12.0000     0.2924
   -1.000     0.000   0.879098   0.031034   0.022818   0.053853   0.000000   0.000000  -0.642343   0.000000   0.000000   12.0000     0.2853
   -0.500     0.000   0.920177   0.034017   0.021452   0.055468   0.000000   0.000000  -0.657937   0.000000   0.000000   12.0000     0.2788
    0.000     0.000   0.961134   0.037128   0.020439   0.057567   0.000000   0.000000  -0.673461   0.000000   0.000000   12.0000     0.2729
    0.500     0.000   1.001962   0.040367   0.019486   0.059854   0.000000   0.000000  -0.688912   0.000000   0.000000   12.0000     0.2675
    1.000     0.000   1.042655   0.043733   0.018505   0.062238   0.000000   0.000000  -0.704287   0.000000   0.000000   12.0000     0.2625
    1.500     0.000   1.083207   0.047222   0.018055   0.065276   0.000000   0.000000  -0.719586   0.000000   0.000000   12.0000     0.2579
    2.000     0.000   1.123610   0.050833   0.019381   0.070214   0.000000   0.000000  -0.734820   0.000000   0.000000   12.0000     0.2537
    2.500     0.000   1.163860   0.054564   0.019101   0.073665   0.000000   0.000000  -0.749959   0.000000   0.000000   12.0000     0.2497
    3.000     0.000   1.203948   0.058413   0.018894   0.077307   0.000000   0.000000  -0.765009   0.000000   0.000000   12.0000     0.2461
    3.500     0.000   1.243870   0.062378   0.018830   0.081208   0.000000   0.000000  -0.779967   0.000000   0.000000   12.0000     0.2427
    4.000     0.000   1.283619   0.066456   0.018863   0.085319   0.000000   0.000000  -0.794831   0.000000   0.000000   12.0000     0.2395
    4.500     0.000   1.323189   0.070645   0.018933   0.089579   0.000000   0.000000  -0.809595   0.000000   0.000000   12.0000     0.2365
    5.000     0.000   1.362573   0.074943   0.019041   0.093984   0.000000   0.000000  -0.824254   0.000000   0.000000   12.0000     0.2337
    5.500     0.000   1.401767   0.079347   0.019151   0.098498   0.000000   0.000000  -0.838805   0.000000   0.000000   12.0000     0.2311
    6.000     0.000   1.440764   0.083853   0.019271   0.103125   0.000000   0.000000  -0.853242   0.000000   0.000000   12.0000     0.2286
    6.500     0.000   1.479557   0.088461   0.019391   0.107852   0.000000   0.000000  -0.867561   0.000000   0.000000   12.0000     0.2263
    7.000     0.000   1.518143   0.093166   0.019520   0.112686   0.000000   0.000000  -0.881758   0.000000   0.000000   12.0000     0.2241
    7.500     0.000   1.556514   0.097966   0.019630   0.117596   0.000000   0.000000  -0.895828   0.000000   0.000000   12.0000     0.2221
    8.000     0.000   1.594666   0.102858   0.019669   0.122527   0.000000   0.000000  -0.909764   0.000000   0.000000   12.0000     0.2201
    8.500     0.000   1.632593   0.107838   0.019806   0.127644   0.000000   0.000000  -0.923568   0.000000   0.000000   12.0000     0.2183
    9.000     0.000   1.670289   0.112905   0.020021   0.132926   0.000000   0.000000  -0.937237   0.000000   0.000000   12.0000     0.2165
    9.500     0.000   1.707749   0.118053   0.020293   0.138347   0.000000   0.000000  -0.950766  -0.000000   0.000000   12.0000     0.2149
   10.000     0.000   1.744968   0.123281   0.020567   0.143848   0.000000   0.000000  -0.964149  -0.000000   0.000000   12.0000     0.2133
   10.500     0.000   1.781941   0.128585   0.020844   0.149429   0.000000   0.000000  -0.977382  -0.000000   0.000000   12.0000     0.2118
   11.000     0.000   1.818664   0.133961   0.021161   0.155122   0.000000   0.000000  -0.990462  -0.000000   0.000000   12.0000     0.2104
   11.500     0.000   1.855130   0.139406   0.021469   0.160876   0.000000   0.000000  -1.003384  -0.000000   0.000000   12.0000     0.2090
   12.000     0.000   1.891335   0.144917   0.021788   0.166705   0.000000   0.000000  -1.016144  -0.000000   0.000000   12.0000     0.2078
   12.500     0.000   1.927275   0.150490   0.022141   0.172631   0.000000   0.000000  -1.028741  -0.000000   0.000000   12.0000     0.2065
   13.000     0.000   1.962944   0.156121   0.022477   0.178597   0.000000   0.000000  -1.041166  -0.000000   0.000000   12.0000     0.2054
   13.500     0.000   1.998339   0.161806   0.022846   0.184653   0.000000   0.000000  -1.053421  -0.000000   0.000000   12.0000     0.2043
   14.000     0.000   2.033455   0.167542   0.023235   0.190778   0.000000   0.000000  -1.065499  -0.000000   0.000000   12.0000     0.2032
   14.500     0.000   2.068288   0.173326   0.023600   0.196925   0.000000   0.000000  -1.077396  -0.000000   0.000000   12.0000     0.2022
   15.000     0.000   2.102833   0.179153   0.024068   0.203221   0.000000   0.000000  -1.089116  -0.000000   0.000000   12.0000     0.2012


