xflr5 v6.57

Plane name :        R23_LR315_120in_AR_5,53
Polar name :        R23_LR315_120in_AR_5,53-12.0 m/s-VLM2
Freestream speed :  12.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000   0.130470   0.001046   0.129352   0.130398   0.000000   0.000000  -0.349103   0.000000   0.000000   12.0000     1.5985
   -9.900     0.000   0.138000   0.001161   0.128461   0.129622   0.000000   0.000000  -0.352084   0.000000   0.000000   12.0000     1.5227
   -9.800     0.000   0.145531   0.001283   0.127933   0.129216   0.000000   0.000000  -0.355047   0.000000   0.000000   12.0000     1.4546
   -9.700     0.000   0.153061   0.001411   0.127661   0.129072   0.000000   0.000000  -0.357997   0.000000   0.000000   12.0000     1.3933
   -9.600     0.000   0.160592   0.001546   0.127100   0.128646   0.000000   0.000000  -0.360959   0.000000   0.000000   12.0000     1.3377
   -9.500     0.000   0.168123   0.001687   0.126384   0.128071   0.000000   0.000000  -0.363927   0.000000   0.000000   12.0000     1.2870
   -9.400     0.000   0.175654   0.001835   0.125842   0.127676   0.000000   0.000000  -0.366884   0.000000   0.000000   12.0000     1.2408
   -9.300     0.000   0.183185   0.001989   0.125044   0.127033   0.000000   0.000000  -0.369854   0.000000   0.000000   12.0000     1.1983
   -9.200     0.000   0.190716   0.002149   0.123903   0.126053   0.000000   0.000000  -0.372847   0.000000   0.000000   12.0000     1.1591
   -9.100     0.000   0.198247   0.002316   0.123012   0.125328   0.000000   0.000000  -0.375827   0.000000   0.000000   12.0000     1.1230
   -9.000     0.000   0.205777   0.002490   0.122083   0.124573   0.000000   0.000000  -0.378804   0.000000   0.000000   12.0000     1.0895
   -8.900     0.000   0.213308   0.002670   0.120895   0.123565   0.000000   0.000000  -0.381791   0.000000   0.000000   12.0000     1.0583
   -8.800     0.000   0.220838   0.002857   0.119381   0.122238   0.000000   0.000000  -0.384801   0.000000   0.000000   12.0000     1.0293
   -8.700     0.000   0.228368   0.003050   0.117842   0.120891   0.000000   0.000000  -0.387811   0.000000   0.000000   12.0000     1.0022
   -8.600     0.000   0.235897   0.003249   0.116247   0.119496   0.000000   0.000000  -0.390822   0.000000   0.000000   12.0000     0.9768
   -8.500     0.000   0.243426   0.003455   0.114487   0.117942   0.000000   0.000000  -0.393839   0.000000   0.000000   12.0000     0.9530
   -8.400     0.000   0.250955   0.003668   0.112678   0.116346   0.000000   0.000000  -0.396857   0.000000   0.000000   12.0000     0.9306
   -8.300     0.000   0.258482   0.003887   0.110899   0.114786   0.000000   0.000000  -0.399873   0.000000   0.000000   12.0000     0.9095
   -8.200     0.000   0.266010   0.004112   0.108835   0.112947   0.000000   0.000000  -0.402900   0.000000   0.000000   12.0000     0.8896
   -8.100     0.000   0.273536   0.004344   0.107007   0.111352   0.000000   0.000000  -0.405915   0.000000   0.000000   12.0000     0.8708
   -8.000     0.000   0.281062   0.004583   0.105485   0.110067   0.000000   0.000000  -0.408915   0.000000   0.000000   12.0000     0.8530
   -7.900     0.000   0.288587   0.004828   0.104172   0.108999   0.000000   0.000000  -0.411899   0.000000   0.000000   12.0000     0.8361
   -7.800     0.000   0.296111   0.005079   0.102732   0.107811   0.000000   0.000000  -0.414892   0.000000   0.000000   12.0000     0.8201
   -7.700     0.000   0.303634   0.005337   0.101102   0.106439   0.000000   0.000000  -0.417896   0.000000   0.000000   12.0000     0.8049
   -7.600     0.000   0.311157   0.005601   0.099733   0.105335   0.000000   0.000000  -0.420880   0.000000   0.000000   12.0000     0.7904
   -7.500     0.000   0.318678   0.005872   0.098190   0.104063   0.000000   0.000000  -0.423875   0.000000   0.000000   12.0000     0.7766
   -7.400     0.000   0.326198   0.006150   0.096639   0.102789   0.000000   0.000000  -0.426867   0.000000   0.000000   12.0000     0.7635
   -7.300     0.000   0.333717   0.006434   0.094780   0.101214   0.000000   0.000000  -0.429872   0.000000   0.000000   12.0000     0.7509
   -7.200     0.000   0.341235   0.006724   0.092960   0.099684   0.000000   0.000000  -0.432872   0.000000   0.000000   12.0000     0.7389
   -7.100     0.000   0.348752   0.007021   0.091175   0.098196   0.000000   0.000000  -0.435868   0.000000   0.000000   12.0000     0.7274
   -7.000     0.000   0.356267   0.007324   0.089559   0.096884   0.000000   0.000000  -0.438853   0.000000   0.000000   12.0000     0.7164
   -6.900     0.000   0.363781   0.007634   0.087976   0.095610   0.000000   0.000000  -0.441837   0.000000   0.000000   12.0000     0.7058
   -6.800     0.000   0.371293   0.007951   0.086388   0.094338   0.000000   0.000000  -0.444817   0.000000   0.000000   12.0000     0.6957
   -6.700     0.000   0.378804   0.008273   0.084324   0.092597   0.000000   0.000000  -0.447810   0.000000   0.000000   12.0000     0.6860
   -6.600     0.000   0.386314   0.008603   0.081930   0.090532   0.000000   0.000000  -0.450814   0.000000   0.000000   12.0000     0.6767
   -6.500     0.000   0.393821   0.008938   0.079634   0.088573   0.000000   0.000000  -0.453815   0.000000   0.000000   12.0000     0.6677
   -6.400     0.000   0.401328   0.009280   0.077486   0.086767   0.000000   0.000000  -0.456809   0.000000   0.000000   12.0000     0.6590
