xflr5 v6.57

Plane name :        R23_LR315_168in_AR_11,08
Polar name :        R23_LR315_168in_AR_11,08_TX-12.0 m/s-VLM2
Freestream speed :  12.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000   0.124574   0.000515   0.129560   0.130075   0.000000   0.000000  -0.350950   0.000000   0.000000   12.0000     1.1739
   -9.750     0.000   0.147276   0.000692   0.127228   0.127920   0.000000   0.000000  -0.359867   0.000000   0.000000   12.0000     1.0155
   -9.500     0.000   0.169979   0.000898   0.124942   0.125841   0.000000   0.000000  -0.368782   0.000000   0.000000   12.0000     0.8994
   -9.250     0.000   0.192682   0.001134   0.122426   0.123560   0.000000   0.000000  -0.377708   0.000000   0.000000   12.0000     0.8106
   -9.000     0.000   0.215384   0.001400   0.119539   0.120940   0.000000   0.000000  -0.386652   0.000000   0.000000   12.0000     0.7406
   -8.750     0.000   0.238083   0.001696   0.116719   0.118416   0.000000   0.000000  -0.395592   0.000000   0.000000   12.0000     0.6839
   -8.500     0.000   0.260780   0.002022   0.112674   0.114695   0.000000   0.000000  -0.404582   0.000000   0.000000   12.0000     0.6370
   -8.250     0.000   0.283474   0.002377   0.108606   0.110983   0.000000   0.000000  -0.413571   0.000000   0.000000   12.0000     0.5977
   -8.000     0.000   0.306163   0.002762   0.104169   0.106931   0.000000   0.000000  -0.422569   0.000000   0.000000   12.0000     0.5642
   -7.750     0.000   0.328847   0.003177   0.099434   0.102611   0.000000   0.000000  -0.431584   0.000000   0.000000   12.0000     0.5353
   -7.500     0.000   0.351525   0.003622   0.095266   0.098888   0.000000   0.000000  -0.440564   0.000000   0.000000   12.0000     0.5101
   -7.250     0.000   0.374196   0.004096   0.090260   0.094356   0.000000   0.000000  -0.449568   0.000000   0.000000   12.0000     0.4880
   -7.000     0.000   0.396860   0.004601   0.085590   0.090191   0.000000   0.000000  -0.458550   0.000000   0.000000   12.0000     0.4684
   -6.750     0.000   0.419515   0.005135   0.080707   0.085842   0.000000   0.000000  -0.467522   0.000000   0.000000   12.0000     0.4510
   -6.500     0.000   0.442160   0.005699   0.075362   0.081061   0.000000   0.000000  -0.476501   0.000000   0.000000   12.0000     0.4353
   -6.250     0.000   0.464796   0.006293   0.070397   0.076690   0.000000   0.000000  -0.485444   0.000000   0.000000   12.0000     0.4212
   -6.000     0.000   0.487421   0.006916   0.066297   0.073213   0.000000   0.000000  -0.494353   0.000000   0.000000   12.0000     0.4083
   -5.750     0.000   0.510034   0.007569   0.063107   0.070676   0.000000   0.000000  -0.503209   0.000000   0.000000   12.0000     0.3966
   -5.500     0.000   0.532634   0.008252   0.058813   0.067065   0.000000   0.000000  -0.512094   0.000000   0.000000   12.0000     0.3859
   -5.250     0.000   0.555221   0.008964   0.056272   0.065236   0.000000   0.000000  -0.520904   0.000000   0.000000   12.0000     0.3761
   -5.000     0.000   0.577794   0.009705   0.053771   0.063476   0.000000   0.000000  -0.529702   0.000000   0.000000   12.0000     0.3670
   -4.750     0.000   0.600352   0.010477   0.050793   0.061269   0.000000   0.000000  -0.538500   0.000000   0.000000   12.0000     0.3587
   -4.500     0.000   0.622894   0.011277   0.048530   0.059807   0.000000   0.000000  -0.547262   0.000000   0.000000   12.0000     0.3509
   -4.250     0.000   0.645419   0.012107   0.046640   0.058747   0.000000   0.000000  -0.556003   0.000000   0.000000   12.0000     0.3437
   -4.000     0.000   0.667927   0.012966   0.044417   0.057383   0.000000   0.000000  -0.564739   0.000000   0.000000   12.0000     0.3370
   -3.750     0.000   0.690416   0.013854   0.042275   0.056129   0.000000   0.000000  -0.573457   0.000000   0.000000   12.0000     0.3307
   -3.500     0.000   0.712887   0.014771   0.040297   0.055068   0.000000   0.000000  -0.582159   0.000000   0.000000   12.0000     0.3248
   -3.250     0.000   0.735337   0.015717   0.038157   0.053874   0.000000   0.000000  -0.590850   0.000000   0.000000   12.0000     0.3193
   -3.000     0.000   0.757767   0.016691   0.036614   0.053306   0.000000   0.000000  -0.599515   0.000000   0.000000   12.0000     0.3141
   -2.750     0.000   0.780175   0.017695   0.034623   0.052318   0.000000   0.000000  -0.608174   0.000000   0.000000   12.0000     0.3092
   -2.500     0.000   0.802561   0.018727   0.032184   0.050911   0.000000   0.000000  -0.616823   0.000000   0.000000   12.0000     0.3046
   -2.250     0.000   0.824924   0.019788   0.029667   0.049454   0.000000   0.000000  -0.625456   0.000000   0.000000   12.0000     0.3002
   -2.000     0.000   0.847263   0.020877   0.027601   0.048477   0.000000   0.000000  -0.634066   0.000000   0.000000   12.0000     0.2961
   -1.750     0.000   0.869577   0.021994   0.025239   0.047233   0.000000   0.000000  -0.642659   0.000000   0.000000   12.0000     0.2921
   -1.500     0.000   0.891865   0.023139   0.024188   0.047327   0.000000   0.000000  -0.651222   0.000000   0.000000   12.0000     0.2884
   -1.250     0.000   0.914128   0.024312   0.023374   0.047686   0.000000   0.000000  -0.659766   0.000000   0.000000   12.0000     0.2849
   -1.000     0.000   0.936363   0.025513   0.022512   0.048026   0.000000   0.000000  -0.668295   0.000000   0.000000   12.0000     0.2815
   -0.750     0.000   0.958570   0.026742   0.021850   0.048591   0.000000   0.000000  -0.676805   0.000000   0.000000   12.0000     0.2783
   -0.500     0.000   0.980748   0.027998   0.021303   0.049301   0.000000   0.000000  -0.685297   0.000000   0.000000   12.0000     0.2753
   -0.250     0.000   1.002897   0.029281   0.020828   0.050109   0.000000   0.000000  -0.693772   0.000000   0.000000   12.0000     0.2724
    0.000     0.000   1.025016   0.030592   0.020373   0.050965   0.000000   0.000000  -0.702229   0.000000   0.000000   12.0000     0.2696
    0.250     0.000   1.047103   0.031929   0.020093   0.052022   0.000000   0.000000  -0.710669   0.000000   0.000000   12.0000     0.2669
    0.500     0.000   1.069159   0.033294   0.019886   0.053180   0.000000   0.000000  -0.719090   0.000000   0.000000   12.0000     0.2643
    0.750     0.000   1.091182   0.034685   0.019691   0.054376   0.000000   0.000000  -0.727493   0.000000   0.000000   12.0000     0.2619
    1.000     0.000   1.113172   0.036102   0.019573   0.055675   0.000000   0.000000  -0.735877   0.000000   0.000000   12.0000     0.2595
    1.250     0.000   1.135127   0.037546   0.019385   0.056930   0.000000   0.000000  -0.744241   0.000000   0.000000   12.0000     0.2573
    1.500     0.000   1.157048   0.039015   0.019206   0.058221   0.000000   0.000000  -0.752585   0.000000   0.000000   12.0000     0.2551
    1.750     0.000   1.178933   0.040511   0.019017   0.059528   0.000000   0.000000  -0.760907   0.000000   0.000000   12.0000     0.2530
    2.000     0.000   1.200781   0.042032   0.018891   0.060923   0.000000   0.000000  -0.769209   0.000000   0.000000   12.0000     0.2510
    2.250     0.000   1.222592   0.043578   0.018831   0.062410   0.000000   0.000000  -0.777490   0.000000   0.000000   12.0000     0.2491
    2.500     0.000   1.244366   0.045150   0.018809   0.063959   0.000000   0.000000  -0.785749   0.000000   0.000000   12.0000     0.2472
    2.750     0.000   1.266100   0.046747   0.018835   0.065581   0.000000   0.000000  -0.793986   0.000000   0.000000   12.0000     0.2455
    3.000     0.000   1.287795   0.048368   0.018881   0.067249   0.000000   0.000000  -0.802200   0.000000   0.000000   12.0000     0.2437
    3.250     0.000   1.309450   0.050014   0.018926   0.068940   0.000000   0.000000  -0.810390   0.000000   0.000000   12.0000     0.2421
    3.500     0.000   1.331063   0.051684   0.018979   0.070663   0.000000   0.000000  -0.818556   0.000000   0.000000   12.0000     0.2404
    3.750     0.000   1.352635   0.053378   0.019051   0.072429   0.000000   0.000000  -0.826697   0.000000   0.000000   12.0000     0.2389
    4.000     0.000   1.374165   0.055096   0.019139   0.074235   0.000000   0.000000  -0.834813   0.000000   0.000000   12.0000     0.2374
    4.250     0.000   1.395651   0.056837   0.019227   0.076064   0.000000   0.000000  -0.842904   0.000000   0.000000   12.0000     0.2359
    4.500     0.000   1.417094   0.058602   0.019319   0.077921   0.000000   0.000000  -0.850967   0.000000   0.000000   12.0000     0.2345
    4.750     0.000   1.438491   0.060389   0.019408   0.079797   0.000000   0.000000  -0.859003   0.000000   0.000000   12.0000     0.2332
    5.000     0.000   1.459844   0.062200   0.019491   0.081691   0.000000   0.000000  -0.867011   0.000000   0.000000   12.0000     0.2318
    5.250     0.000   1.481150   0.064032   0.019557   0.083589   0.000000   0.000000  -0.874989   0.000000   0.000000   12.0000     0.2305
    5.500     0.000   1.502410   0.065887   0.019636   0.085523   0.000000   0.000000  -0.882939  -0.000000   0.000000   12.0000     0.2293
    5.750     0.000   1.523622   0.067764   0.019722   0.087487   0.000000   0.000000  -0.890860  -0.000000   0.000000   12.0000     0.2281
    6.000     0.000   1.544785   0.069663   0.019806   0.089468   0.000000   0.000000  -0.898750  -0.000000   0.000000   12.0000     0.2269
    6.250     0.000   1.565900   0.071582   0.019871   0.091453   0.000000   0.000000  -0.906608   0.000000   0.000000   12.0000     0.2258
    6.500     0.000   1.586966   0.073523   0.019895   0.093418   0.000000   0.000000  -0.914433   0.000000   0.000000   12.0000     0.2247
    6.750     0.000   1.607981   0.075485   0.019933   0.095417   0.000000   0.000000  -0.922226   0.000000   0.000000   12.0000     0.2236
    7.000     0.000   1.628944   0.077467   0.020007   0.097473   0.000000   0.000000  -0.929987   0.000000   0.000000   12.0000     0.2226
    7.250     0.000   1.649857   0.079469   0.020103   0.099572   0.000000   0.000000  -0.937715   0.000000   0.000000   12.0000     0.2216
    7.500     0.000   1.670717   0.081490   0.020227   0.101717   0.000000   0.000000  -0.945411  -0.000000   0.000000   12.0000     0.2206
    7.750     0.000   1.691524   0.083532   0.020380   0.103911   0.000000   0.000000  -0.953074  -0.000000   0.000000   12.0000     0.2196
    8.000     0.000   1.712277   0.085592   0.020551   0.106143   0.000000   0.000000  -0.960704  -0.000000   0.000000   12.0000     0.2187
    8.250     0.000   1.732976   0.087671   0.020722   0.108394   0.000000   0.000000  -0.968297  -0.000000   0.000000   12.0000     0.2178
    8.500     0.000   1.753619   0.089769   0.020897   0.110666   0.000000   0.000000  -0.975856  -0.000000   0.000000   12.0000     0.2169
    8.750     0.000   1.774208   0.091885   0.021062   0.112947   0.000000   0.000000  -0.983377  -0.000000   0.000000   12.0000     0.2161
    9.000     0.000   1.794739   0.094019   0.021226   0.115246   0.000000   0.000000  -0.990861  -0.000000   0.000000   12.0000     0.2152
    9.250     0.000   1.815214   0.096171   0.021403   0.117574   0.000000   0.000000  -0.998307  -0.000000   0.000000   12.0000     0.2144
    9.500     0.000   1.835631   0.098339   0.021594   0.119933   0.000000   0.000000  -1.005716  -0.000000   0.000000   12.0000     0.2136
    9.750     0.000   1.855990   0.100525   0.021780   0.122304   0.000000   0.000000  -1.013086  -0.000000   0.000000   12.0000     0.2129
   10.000     0.000   1.876290   0.102727   0.021967   0.124693   0.000000   0.000000  -1.020417  -0.000000   0.000000   12.0000     0.2121
   10.250     0.000   1.896531   0.104945   0.022140   0.127084   0.000000   0.000000  -1.027707  -0.000000   0.000000   12.0000     0.2114
   10.500     0.000   1.916711   0.107179   0.022331   0.129510   0.000000   0.000000  -1.034958  -0.000000   0.000000   12.0000     0.2107
   10.750     0.000   1.936831   0.109428   0.022548   0.131976   0.000000   0.000000  -1.042169  -0.000000   0.000000   12.0000     0.2100
   11.000     0.000   1.956889   0.111692   0.022757   0.134449   0.000000   0.000000  -1.049339  -0.000000   0.000000   12.0000     0.2093
   11.250     0.000   1.976886   0.113971   0.022960   0.136931   0.000000   0.000000  -1.056466  -0.000000   0.000000   12.0000     0.2086
   11.500     0.000   1.996820   0.116264   0.023150   0.139414   0.000000   0.000000  -1.063550  -0.000000   0.000000   12.0000     0.2080
   11.750     0.000   2.016690   0.118572   0.023369   0.141941   0.000000   0.000000  -1.070592  -0.000000   0.000000   12.0000     0.2073
   12.000     0.000   2.036497   0.120893   0.023614   0.144506   0.000000   0.000000  -1.077593  -0.000000   0.000000   12.0000     0.2067
   12.250     0.000   2.056240   0.123227   0.023847   0.147074   0.000000   0.000000  -1.084549  -0.000000   0.000000   12.0000     0.2061
   12.500     0.000   2.075917   0.125574   0.024073   0.149646   0.000000   0.000000  -1.091460  -0.000000   0.000000   12.0000     0.2055
   12.750     0.000   2.095530   0.127933   0.024295   0.152228   0.000000   0.000000  -1.098326  -0.000000   0.000000   12.0000     0.2049
