xflr5 v6.57

Plane name :        R23_LR315_192n_AR_12,00
Polar name :        T1-12.0 m/s-VLM2
Freestream speed :  12.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000   0.583574   0.009178   0.051185   0.060364   0.000000   0.000000  -0.528351   0.000000   0.000000   12.0000     0.3810
   -4.500     0.000   0.629299   0.010669   0.046280   0.056949   0.000000   0.000000  -0.545824   0.000000   0.000000   12.0000     0.3642
   -4.000     0.000   0.674958   0.012272   0.042028   0.054300   0.000000   0.000000  -0.563226   0.000000   0.000000   12.0000     0.3496
   -3.500     0.000   0.720544   0.013985   0.036911   0.050896   0.000000   0.000000  -0.580592   0.000000   0.000000   12.0000     0.3369
   -3.000     0.000   0.766051   0.015809   0.032001   0.047810   0.000000   0.000000  -0.597894   0.000000   0.000000   12.0000     0.3257
   -2.500     0.000   0.811473   0.017742   0.027847   0.045589   0.000000   0.000000  -0.615120   0.000000   0.000000   12.0000     0.3158
   -2.000     0.000   0.856803   0.019783   0.024036   0.043819   0.000000   0.000000  -0.632280   0.000000   0.000000   12.0000     0.3069
   -1.500     0.000   0.902035   0.021932   0.021037   0.042969   0.000000   0.000000  -0.649362   0.000000   0.000000   12.0000     0.2989
   -1.000     0.000   0.947164   0.024188   0.020057   0.044245   0.000000   0.000000  -0.666360   0.000000   0.000000   12.0000     0.2918
   -0.500     0.000   0.992181   0.026548   0.018758   0.045307   0.000000   0.000000  -0.683296   0.000000   0.000000   12.0000     0.2852
    0.000     0.000   1.037082   0.029013   0.018067   0.047080   0.000000   0.000000  -0.700163  -0.000000   0.000000   12.0000     0.2793
    0.500     0.000   1.081860   0.031581   0.017444   0.049025   0.000000   0.000000  -0.716960   0.000000   0.000000   12.0000     0.2738
    1.000     0.000   1.126509   0.034250   0.018213   0.052463   0.000000   0.000000  -0.733689  -0.000000   0.000000   12.0000     0.2688
    1.500     0.000   1.171023   0.037019   0.018331   0.055350   0.000000   0.000000  -0.750342   0.000000   0.000000   12.0000     0.2642
    2.000     0.000   1.215395   0.039886   0.018123   0.058009   0.000000   0.000000  -0.766911   0.000000   0.000000   12.0000     0.2600
    2.500     0.000   1.259621   0.042851   0.018094   0.060945   0.000000   0.000000  -0.783397   0.000000   0.000000   12.0000     0.2560
    3.000     0.000   1.303693   0.045910   0.018169   0.064079   0.000000   0.000000  -0.799794   0.000000   0.000000   12.0000     0.2523
    3.500     0.000   1.347606   0.049063   0.018273   0.067335   0.000000   0.000000  -0.816097   0.000000   0.000000   12.0000     0.2489
    4.000     0.000   1.391354   0.052307   0.018406   0.070712   0.000000   0.000000  -0.832302   0.000000   0.000000   12.0000     0.2457
    4.500     0.000   1.434932   0.055640   0.018553   0.074194   0.000000   0.000000  -0.848404   0.000000   0.000000   12.0000     0.2427
    5.000     0.000   1.478332   0.059062   0.018700   0.077762   0.000000   0.000000  -0.864396   0.000000   0.000000   12.0000     0.2399
    5.500     0.000   1.521551   0.062569   0.018855   0.081423   0.000000   0.000000  -0.880276  -0.000000   0.000000   12.0000     0.2373
    6.000     0.000   1.564582   0.066159   0.018982   0.085141   0.000000   0.000000  -0.896037  -0.000000   0.000000   12.0000     0.2348
    6.500     0.000   1.607420   0.069831   0.019008   0.088839   0.000000   0.000000  -0.911670   0.000000   0.000000   12.0000     0.2325
