xflr5 v6.57

Plane name :        R23_LR315_216in_AR_13,03
Polar name :        T1-12.0 m/s-VLM2
Freestream speed :  12.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000   0.589583   0.008663   0.049706   0.058369   0.000000   0.000000  -0.528902   0.000000   0.000000   12.0000     0.3910
   -4.500     0.000   0.635943   0.010075   0.045237   0.055312   0.000000   0.000000  -0.546442   0.000000   0.000000   12.0000     0.3736
   -4.000     0.000   0.682238   0.011593   0.040115   0.051708   0.000000   0.000000  -0.563946   0.000000   0.000000   12.0000     0.3586
   -3.500     0.000   0.728461   0.013216   0.034745   0.047962   0.000000   0.000000  -0.581399   0.000000   0.000000   12.0000     0.3456
   -3.000     0.000   0.774605   0.014945   0.029702   0.044647   0.000000   0.000000  -0.598784   0.000000   0.000000   12.0000     0.3341
   -2.500     0.000   0.820665   0.016777   0.025551   0.042328   0.000000   0.000000  -0.616093   0.000000   0.000000   12.0000     0.3239
   -2.000     0.000   0.866634   0.018713   0.022527   0.041240   0.000000   0.000000  -0.633326   0.000000   0.000000   12.0000     0.3148
   -1.500     0.000   0.912507   0.020750   0.019987   0.040737   0.000000   0.000000  -0.650490   0.000000   0.000000   12.0000     0.3066
   -1.000     0.000   0.958276   0.022889   0.018754   0.041643   0.000000   0.000000  -0.667577   0.000000   0.000000   12.0000     0.2992
   -0.500     0.000   1.003935   0.025128   0.017888   0.043016   0.000000   0.000000  -0.684599   0.000000   0.000000   12.0000     0.2925
    0.000     0.000   1.049480   0.027466   0.017199   0.044665   0.000000   0.000000  -0.701555  -0.000000   0.000000   12.0000     0.2864
    0.500     0.000   1.094902   0.029902   0.016520   0.046422   0.000000   0.000000  -0.718441   0.000000   0.000000   12.0000     0.2808
    1.000     0.000   1.140197   0.032434   0.017891   0.050325   0.000000   0.000000  -0.735264  -0.000000   0.000000   12.0000     0.2756
    1.500     0.000   1.185358   0.035062   0.017962   0.053024   0.000000   0.000000  -0.752009   0.000000   0.000000   12.0000     0.2709
    2.000     0.000   1.230380   0.037782   0.017824   0.055606   0.000000   0.000000  -0.768671   0.000000   0.000000   12.0000     0.2665
    2.500     0.000   1.275256   0.040595   0.017829   0.058425   0.000000   0.000000  -0.785250   0.000000   0.000000   12.0000     0.2625
    3.000     0.000   1.319981   0.043499   0.017911   0.061409   0.000000   0.000000  -0.801741   0.000000   0.000000   12.0000     0.2587
    3.500     0.000   1.364548   0.046491   0.018019   0.064510   0.000000   0.000000  -0.818138   0.000000   0.000000   12.0000     0.2552
    4.000     0.000   1.408953   0.049570   0.018148   0.067718   0.000000   0.000000  -0.834437   0.000000   0.000000   12.0000     0.2519
    4.500     0.000   1.453188   0.052735   0.018301   0.071035   0.000000   0.000000  -0.850633   0.000000   0.000000   12.0000     0.2489
    5.000     0.000   1.497249   0.055982   0.018443   0.074425   0.000000   0.000000  -0.866719   0.000000   0.000000   12.0000     0.2460
    5.500     0.000   1.541130   0.059311   0.018573   0.077885   0.000000   0.000000  -0.882692   0.000000   0.000000   12.0000     0.2433
    6.000     0.000   1.584825   0.062720   0.018661   0.081381   0.000000   0.000000  -0.898546  -0.000000   0.000000   12.0000     0.2407
    6.500     0.000   1.628329   0.066206   0.018741   0.084946   0.000000   0.000000  -0.914275   0.000000   0.000000   12.0000     0.2383
    7.000     0.000   1.671637   0.069767   0.018954   0.088720   0.000000   0.000000  -0.929881  -0.000000   0.000000   12.0000     0.2361
    7.500     0.000   1.714742   0.073401   0.019223   0.092624   0.000000   0.000000  -0.945358  -0.000000   0.000000   12.0000     0.2339
    8.000     0.000   1.757641   0.077105   0.019529   0.096635   0.000000   0.000000  -0.960700  -0.000000   0.000000   12.0000     0.2319
    8.500     0.000   1.800326   0.080879   0.019856   0.100734   0.000000   0.000000  -0.975902  -0.000000   0.000000   12.0000     0.2300
    9.000     0.000   1.842794   0.084718   0.020187   0.104905   0.000000   0.000000  -0.990959  -0.000000   0.000000   12.0000     0.2282
    9.500     0.000   1.885040   0.088620   0.020551   0.109171   0.000000   0.000000  -1.005867  -0.000000   0.000000   12.0000     0.2265
   10.000     0.000   1.927057   0.092584   0.020919   0.113503   0.000000   0.000000  -1.020622  -0.000000   0.000000   12.0000     0.2248
   10.500     0.000   1.968842   0.096606   0.021306   0.117912   0.000000   0.000000  -1.035220  -0.000000   0.000000   12.0000     0.2233
   11.000     0.000   2.010389   0.100685   0.021726   0.122411   0.000000   0.000000  -1.049656  -0.000000   0.000000   12.0000     0.2218
   11.500     0.000   2.051694   0.104817   0.022158   0.126975   0.000000   0.000000  -1.063926  -0.000000   0.000000   12.0000     0.2204
   12.000     0.000   2.092751   0.108999   0.022649   0.131648   0.000000   0.000000  -1.078028  -0.000000   0.000000   12.0000     0.2190
   12.500     0.000   2.133557   0.113229   0.023152   0.136382   0.000000   0.000000  -1.091956  -0.000000   0.000000   12.0000     0.2177
   13.000     0.000   2.174106   0.117505   0.023740   0.141245   0.000000   0.000000  -1.105711  -0.000000   0.000000   12.0000     0.2165
   13.500     0.000   2.214395   0.121823   0.024393   0.146216   0.000000   0.000000  -1.119287  -0.000000   0.000000   12.0000     0.2153
   14.000     0.000   2.254418   0.126181   0.025184   0.151364   0.000000   0.000000  -1.132686  -0.000000   0.000000   12.0000     0.2142
   14.500     0.000   2.294173   0.130575   0.026439   0.157014   0.000000   0.000000  -1.145929  -0.000000   0.000000   12.0000     0.2131
   15.000     0.000   2.333653   0.135003   0.029064   0.164068   0.000000   0.000000  -1.159085  -0.000000   0.000000   12.0000     0.2121


