xflr5 v6.57

Plane name :        R23_MW01_216in_AR_15,02
Polar name :        T1-12.0 m/s-VLM2
Freestream speed :  12.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -12.000     0.000  -0.112218   0.000344   0.158396   0.158741  -0.000000  -0.000000  -0.260393  -0.000000   0.000000   12.0000    -0.9372
  -11.500     0.000  -0.064708   0.000165   0.152560   0.152725  -0.000000  -0.000000  -0.278523  -0.000000   0.000000   12.0000    -1.7246
  -11.000     0.000  -0.017172   0.000081   0.145540   0.145621  -0.000000  -0.000000  -0.296769  -0.000000   0.000000   12.0000    -6.8728
  -10.500     0.000   0.030386   0.000093   0.133890   0.133984   0.000000  -0.000000  -0.315217  -0.000000   0.000000   12.0000     4.0949
  -10.000     0.000   0.077958   0.000202   0.118978   0.119180   0.000000   0.000000  -0.333918   0.000000   0.000000   12.0000     1.6782
   -9.500     0.000   0.125538   0.000408   0.108808   0.109216   0.000000   0.000000  -0.352271   0.000000  -0.000000   12.0000     1.0931
   -9.000     0.000   0.173121   0.000712   0.099540   0.100252   0.000000   0.000000  -0.370571   0.000000   0.000000   12.0000     0.8295
   -8.500     0.000   0.220699   0.001113   0.093143   0.094256   0.000000   0.000000  -0.388674   0.000000  -0.000000   12.0000     0.6795
   -8.000     0.000   0.268268   0.001612   0.087702   0.089314   0.000000   0.000000  -0.406714   0.000000  -0.000000   12.0000     0.5828
   -7.500     0.000   0.315820   0.002209   0.082622   0.084831   0.000000   0.000000  -0.424722   0.000000   0.000000   12.0000     0.5151
   -7.000     0.000   0.363349   0.002904   0.076588   0.079491   0.000000   0.000000  -0.442744   0.000000   0.000000   12.0000     0.4652
   -6.500     0.000   0.410850   0.003697   0.069203   0.072900   0.000000   0.000000  -0.460788   0.000000   0.000000   12.0000     0.4268
   -6.000     0.000   0.458315   0.004587   0.059800   0.064387   0.000000   0.000000  -0.478864   0.000000   0.000000   12.0000     0.3963
   -5.500     0.000   0.505740   0.005575   0.050928   0.056503   0.000000   0.000000  -0.496880   0.000000   0.000000   12.0000     0.3716
   -5.000     0.000   0.553117   0.006661   0.044304   0.050964   0.000000   0.000000  -0.514776   0.000000   0.000000   12.0000     0.3511
   -4.500     0.000   0.600441   0.007843   0.038901   0.046744   0.000000   0.000000  -0.532580   0.000000   0.000000   12.0000     0.3339
   -4.000     0.000   0.647706   0.009122   0.033774   0.042896   0.000000   0.000000  -0.550322   0.000000   0.000000   12.0000     0.3192
   -3.500     0.000   0.694904   0.010497   0.029201   0.039699   0.000000   0.000000  -0.567996   0.000000   0.000000   12.0000     0.3065
   -3.000     0.000   0.742031   0.011968   0.025446   0.037414   0.000000   0.000000  -0.585600   0.000000   0.000000   12.0000     0.2954
   -2.500     0.000   0.789080   0.013533   0.022728   0.036261   0.000000   0.000000  -0.603131   0.000000   0.000000   12.0000     0.2856
   -2.000     0.000   0.836044   0.015193   0.020224   0.035417   0.000000   0.000000  -0.620601   0.000000   0.000000   12.0000     0.2770
   -1.500     0.000   0.882919   0.016946   0.018532   0.035478   0.000000   0.000000  -0.638004   0.000000   0.000000   12.0000     0.2693
   -1.000     0.000   0.929697   0.018791   0.017425   0.036216   0.000000   0.000000  -0.655341   0.000000   0.000000   12.0000     0.2623
   -0.500     0.000   0.976374   0.020728   0.016703   0.037432   0.000000   0.000000  -0.672615   0.000000   0.000000   12.0000     0.2561
    0.000     0.000   1.022942   0.022756   0.016210   0.038966   0.000000   0.000000  -0.689823   0.000000   0.000000   12.0000     0.2504
    0.500     0.000   1.069396   0.024873   0.015913   0.040786   0.000000   0.000000  -0.706964   0.000000   0.000000   12.0000     0.2452
    1.000     0.000   1.115730   0.027078   0.015762   0.042840   0.000000   0.000000  -0.724033   0.000000   0.000000   12.0000     0.2405
    1.500     0.000   1.161938   0.029371   0.015842   0.045213   0.000000   0.000000  -0.741028   0.000000   0.000000   12.0000     0.2361
    2.000     0.000   1.208015   0.031749   0.016043   0.047792   0.000000   0.000000  -0.757945   0.000000   0.000000   12.0000     0.2321
    2.500     0.000   1.253954   0.034212   0.016309   0.050521   0.000000   0.000000  -0.774778  -0.000000   0.000000   12.0000     0.2284
    3.000     0.000   1.299750   0.036758   0.016575   0.053333   0.000000   0.000000  -0.791523  -0.000000   0.000000   12.0000     0.2249
    3.500     0.000   1.345397   0.039386   0.016839   0.056225   0.000000   0.000000  -0.808173  -0.000000   0.000000   12.0000     0.2217
    4.000     0.000   1.390889   0.042094   0.017127   0.059221   0.000000   0.000000  -0.824725  -0.000000   0.000000   12.0000     0.2188
    4.500     0.000   1.436221   0.044880   0.017427   0.062308   0.000000   0.000000  -0.841174  -0.000000   0.000000   12.0000     0.2160
    5.000     0.000   1.481387   0.047744   0.017744   0.065487   0.000000   0.000000  -0.857514  -0.000000   0.000000   12.0000     0.2134
    5.500     0.000   1.526382   0.050682   0.018091   0.068773   0.000000   0.000000  -0.873742  -0.000000   0.000000   12.0000     0.2109
    6.000     0.000   1.571200   0.053694   0.018462   0.072155   0.000000   0.000000  -0.889853  -0.000000   0.000000   12.0000     0.2086
    6.500     0.000   1.615835   0.056777   0.018831   0.075607   0.000000   0.000000  -0.905840  -0.000000   0.000000   12.0000     0.2065
    7.000     0.000   1.660283   0.059929   0.019238   0.079168   0.000000   0.000000  -0.921701  -0.000000   0.000000   12.0000     0.2044
    7.500     0.000   1.704538   0.063150   0.019646   0.082796   0.000000   0.000000  -0.937430  -0.000000   0.000000   12.0000     0.2025
    8.000     0.000   1.748595   0.066436   0.020032   0.086468   0.000000   0.000000  -0.953021  -0.000000   0.000000   12.0000     0.2007
    8.500     0.000   1.792449   0.069786   0.020470   0.090256   0.000000   0.000000  -0.968472  -0.000000   0.000000   12.0000     0.1990
    9.000     0.000   1.836094   0.073197   0.021026   0.094223   0.000000   0.000000  -0.983782  -0.000000   0.000000   12.0000     0.1974
    9.500     0.000   1.879526   0.076667   0.021647   0.098314   0.000000   0.000000  -0.998946  -0.000000   0.000000   12.0000     0.1958
   10.000     0.000   1.922740   0.080194   0.022321   0.102516   0.000000   0.000000  -1.013958  -0.000000   0.000000   12.0000     0.1943
   10.500     0.000   1.965730   0.083777   0.023055   0.106831   0.000000   0.000000  -1.028815  -0.000000   0.000000   12.0000     0.1929
   11.000     0.000   2.008491   0.087411   0.023816   0.111228   0.000000   0.000000  -1.043511  -0.000000   0.000000   12.0000     0.1916
   11.500     0.000   2.051020   0.091096   0.024671   0.115767   0.000000   0.000000  -1.058046  -0.000000   0.000000   12.0000     0.1903
   12.000     0.000   2.093311   0.094829   0.025584   0.120413   0.000000   0.000000  -1.072414  -0.000000   0.000000   12.0000     0.1891
   12.500     0.000   2.135360   0.098607   0.026567   0.125174   0.000000   0.000000  -1.086612  -0.000000   0.000000   12.0000     0.1880
   13.000     0.000   2.177162   0.102428   0.027751   0.130179   0.000000   0.000000  -1.100644  -0.000000   0.000000   12.0000     0.1869
   13.500     0.000   2.218713   0.106289   0.029151   0.135441   0.000000   0.000000  -1.114510  -0.000000   0.000000   12.0000     0.1858
   14.000     0.000   2.260008   0.110188   0.030996   0.141184   0.000000   0.000000  -1.128225  -0.000000   0.000000   12.0000     0.1848
   14.500     0.000   2.301043   0.114122   0.033180   0.147303   0.000000   0.000000  -1.141780  -0.000000   0.000000   12.0000     0.1838
   15.000     0.000   2.341813   0.118089   0.036413   0.154502   0.000000   0.000000  -1.155231  -0.000000   0.000000   12.0000     0.1829


