xflr5 v6.57

Plane name :        R23_LR315_216in_AR_9,34
Polar name :        R23_LR315_216in_AR_9,34_TX-12.0 m/s-VLM2
Freestream speed :  12.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000   0.125856   0.000600   0.129868   0.130468   0.000000   0.000000  -0.352002   0.000000   0.000000   12.0000     1.7899
   -9.750     0.000   0.147806   0.000803   0.128265   0.129068   0.000000   0.000000  -0.360855   0.000000   0.000000   12.0000     1.5584
   -9.500     0.000   0.169756   0.001039   0.126166   0.127205   0.000000   0.000000  -0.369729   0.000000   0.000000   12.0000     1.3868
   -9.250     0.000   0.191707   0.001307   0.123756   0.125063   0.000000   0.000000  -0.378614   0.000000   0.000000   12.0000     1.2544
   -9.000     0.000   0.213657   0.001609   0.120484   0.122092   0.000000   0.000000  -0.387547   0.000000   0.000000   12.0000     1.1492
   -8.750     0.000   0.235606   0.001943   0.116110   0.118053   0.000000   0.000000  -0.396533   0.000000   0.000000   12.0000     1.0636
   -8.500     0.000   0.257551   0.002310   0.110808   0.113118   0.000000   0.000000  -0.405567   0.000000   0.000000   12.0000     0.9926
   -8.250     0.000   0.279494   0.002710   0.105543   0.108253   0.000000   0.000000  -0.414594   0.000000   0.000000   12.0000     0.9327
   -8.000     0.000   0.301432   0.003143   0.101409   0.104552   0.000000   0.000000  -0.423552   0.000000   0.000000   12.0000     0.8816
   -7.750     0.000   0.323365   0.003609   0.097043   0.100651   0.000000   0.000000  -0.432522   0.000000   0.000000   12.0000     0.8374
   -7.500     0.000   0.345292   0.004107   0.091902   0.096009   0.000000   0.000000  -0.441518   0.000000   0.000000   12.0000     0.7988
   -7.250     0.000   0.367212   0.004639   0.086916   0.091555   0.000000   0.000000  -0.450495   0.000000   0.000000   12.0000     0.7648
   -7.000     0.000   0.389125   0.005203   0.080604   0.085807   0.000000   0.000000  -0.459502   0.000000   0.000000   12.0000     0.7346
   -6.750     0.000   0.411029   0.005801   0.074324   0.080125   0.000000   0.000000  -0.468500   0.000000   0.000000   12.0000     0.7077
   -6.500     0.000   0.432924   0.006431   0.068836   0.075267   0.000000   0.000000  -0.477441   0.000000   0.000000   12.0000     0.6834
   -6.250     0.000   0.454809   0.007094   0.064025   0.071119   0.000000   0.000000  -0.486350   0.000000   0.000000   12.0000     0.6616
   -6.000     0.000   0.476682   0.007789   0.060063   0.067852   0.000000   0.000000  -0.495218   0.000000   0.000000   12.0000     0.6417
   -5.750     0.000   0.498544   0.008517   0.056801   0.065319   0.000000   0.000000  -0.504033   0.000000   0.000000   12.0000     0.6236
   -5.500     0.000   0.520393   0.009278   0.052587   0.061865   0.000000   0.000000  -0.512874   0.000000   0.000000   12.0000     0.6070
   -5.250     0.000   0.542229   0.010072   0.049968   0.060040   0.000000   0.000000  -0.521638   0.000000   0.000000   12.0000     0.5917
   -5.000     0.000   0.564050   0.010898   0.047736   0.058634   0.000000   0.000000  -0.530378   0.000000   0.000000   12.0000     0.5776
   -4.750     0.000   0.585856   0.011756   0.045034   0.056790   0.000000   0.000000  -0.539118   0.000000   0.000000   12.0000     0.5646
   -4.500     0.000   0.607645   0.012647   0.042277   0.054924   0.000000   0.000000  -0.547843   0.000000   0.000000   12.0000     0.5525
   -4.250     0.000   0.629418   0.013570   0.040161   0.053731   0.000000   0.000000  -0.556538   0.000000   0.000000   12.0000     0.5413
   -4.000     0.000   0.651173   0.014525   0.037958   0.052484   0.000000   0.000000  -0.565222   0.000000   0.000000   12.0000     0.5308
   -3.750     0.000   0.672910   0.015513   0.035618   0.051130   0.000000   0.000000  -0.573893   0.000000   0.000000   12.0000     0.5210
   -3.500     0.000   0.694626   0.016532   0.033208   0.049740   0.000000   0.000000  -0.582551   0.000000   0.000000   12.0000     0.5118
   -3.250     0.000   0.716323   0.017583   0.030803   0.048386   0.000000   0.000000  -0.591193   0.000000   0.000000   12.0000     0.5032
   -3.000     0.000   0.737999   0.018666   0.028651   0.047318   0.000000   0.000000  -0.599815   0.000000   0.000000   12.0000     0.4951
   -2.750     0.000   0.759652   0.019781   0.027278   0.047059   0.000000   0.000000  -0.608407   0.000000   0.000000   12.0000     0.4875
   -2.500     0.000   0.781283   0.020927   0.026312   0.047239   0.000000   0.000000  -0.616978   0.000000   0.000000   12.0000     0.4802
   -2.250     0.000   0.802890   0.022105   0.022931   0.045036   0.000000   0.000000  -0.625566   0.000000   0.000000   12.0000     0.4734
   -2.000     0.000   0.824473   0.023313   0.020797   0.044111   0.000000   0.000000  -0.634121   0.000000   0.000000   12.0000     0.4670
   -1.750     0.000   0.846031   0.024553   0.020297   0.044851   0.000000   0.000000  -0.642640   0.000000   0.000000   12.0000     0.4608
   -1.500     0.000   0.867562   0.025824   0.019589   0.045413   0.000000   0.000000  -0.651143   0.000000   0.000000   12.0000     0.4550
   -1.250     0.000   0.889067   0.027126   0.019060   0.046186   0.000000   0.000000  -0.659629   0.000000   0.000000   12.0000     0.4495
   -1.000     0.000   0.910543   0.028458   0.018520   0.046978   0.000000   0.000000  -0.668099   0.000000   0.000000   12.0000     0.4442
   -0.750     0.000   0.931992   0.029821   0.018074   0.047894   0.000000   0.000000  -0.676552   0.000000   0.000000   12.0000     0.4392
   -0.500     0.000   0.953411   0.031213   0.017590   0.048804   0.000000   0.000000  -0.684988   0.000000   0.000000   12.0000     0.4344
   -0.250     0.000   0.974799   0.032637   0.017152   0.049789   0.000000   0.000000  -0.693407   0.000000   0.000000   12.0000     0.4299
    0.000     0.000   0.996157   0.034089   0.016831   0.050920   0.000000   0.000000  -0.701807   0.000000   0.000000   12.0000     0.4255
    0.250     0.000   1.017483   0.035572   0.016546   0.052118   0.000000   0.000000  -0.710189   0.000000   0.000000   12.0000     0.4213
    0.500     0.000   1.038777   0.037084   0.016327   0.053411   0.000000   0.000000  -0.718553   0.000000   0.000000   12.0000     0.4173
    0.750     0.000   1.060037   0.038626   0.016185   0.054811   0.000000   0.000000  -0.726899   0.000000   0.000000   12.0000     0.4135
    1.000     0.000   1.081263   0.040196   0.016064   0.056261   0.000000   0.000000  -0.735225   0.000000   0.000000   12.0000     0.4098
    1.250     0.000   1.102453   0.041796   0.015927   0.057723   0.000000   0.000000  -0.743531   0.000000   0.000000   12.0000     0.4063
    1.500     0.000   1.123609   0.043424   0.015828   0.059253   0.000000   0.000000  -0.751817   0.000000   0.000000   12.0000     0.4029
    1.750     0.000   1.144727   0.045081   0.015797   0.060878   0.000000   0.000000  -0.760083  -0.000000   0.000000   12.0000     0.3996
    2.000     0.000   1.165809   0.046766   0.015663   0.062429   0.000000   0.000000  -0.768326   0.000000   0.000000   12.0000     0.3965
    2.250     0.000   1.186852   0.048478   0.015562   0.064041   0.000000   0.000000  -0.776548   0.000000   0.000000   12.0000     0.3935
    2.500     0.000   1.207856   0.050219   0.015499   0.065718   0.000000   0.000000  -0.784747   0.000000   0.000000   12.0000     0.3906
    2.750     0.000   1.228821   0.051987   0.015463   0.067450   0.000000   0.000000  -0.792923  -0.000000   0.000000   12.0000     0.3878
    3.000     0.000   1.249745   0.053782   0.015447   0.069229   0.000000   0.000000  -0.801076   0.000000   0.000000   12.0000     0.3851
    3.250     0.000   1.270628   0.055604   0.015553   0.071157   0.000000   0.000000  -0.809208  -0.000000   0.000000   12.0000     0.3824
    3.500     0.000   1.291469   0.057453   0.015668   0.073122   0.000000   0.000000  -0.817316   0.000000   0.000000   12.0000     0.3799
    3.750     0.000   1.312267   0.059329   0.015711   0.075039   0.000000   0.000000  -0.825396   0.000000   0.000000   12.0000     0.3775
    4.000     0.000   1.333022   0.061230   0.015752   0.076982   0.000000   0.000000  -0.833450   0.000000   0.000000   12.0000     0.3751
    4.250     0.000   1.353733   0.063157   0.015790   0.078947   0.000000   0.000000  -0.841477   0.000000   0.000000   12.0000     0.3728
    4.500     0.000   1.374398   0.065110   0.015829   0.080939   0.000000   0.000000  -0.849477   0.000000   0.000000   12.0000     0.3706
    4.750     0.000   1.395018   0.067089   0.015874   0.082963   0.000000   0.000000  -0.857449   0.000000   0.000000   12.0000     0.3685
    5.000     0.000   1.415592   0.069092   0.015945   0.085037   0.000000   0.000000  -0.865394   0.000000   0.000000   12.0000     0.3664
    5.250     0.000   1.436118   0.071120   0.016011   0.087131   0.000000   0.000000  -0.873310   0.000000   0.000000   12.0000     0.3644
    5.500     0.000   1.456597   0.073172   0.016070   0.089242   0.000000   0.000000  -0.881197   0.000000   0.000000   12.0000     0.3625
    5.750     0.000   1.477026   0.075249   0.016128   0.091377   0.000000   0.000000  -0.889053   0.000000   0.000000   12.0000     0.3606
    6.000     0.000   1.497407   0.077349   0.016182   0.093531   0.000000   0.000000  -0.896877   0.000000   0.000000   12.0000     0.3588
    6.250     0.000   1.517737   0.079472   0.016238   0.095710   0.000000   0.000000  -0.904671   0.000000   0.000000   12.0000     0.3570
    6.500     0.000   1.538017   0.081619   0.016292   0.097911   0.000000   0.000000  -0.912433   0.000000   0.000000   12.0000     0.3553
    6.750     0.000   1.558245   0.083789   0.016350   0.100139   0.000000   0.000000  -0.920162   0.000000   0.000000   12.0000     0.3536
    7.000     0.000   1.578421   0.085981   0.016416   0.102396   0.000000   0.000000  -0.927859   0.000000   0.000000   12.0000     0.3520
    7.250     0.000   1.598544   0.088195   0.016482   0.104677   0.000000   0.000000  -0.935522   0.000000   0.000000   12.0000     0.3504
    7.500     0.000   1.618613   0.090431   0.016531   0.106962   0.000000   0.000000  -0.943150   0.000000   0.000000   12.0000     0.3489
    7.750     0.000   1.638628   0.092688   0.016541   0.109229   0.000000   0.000000  -0.950742   0.000000   0.000000   12.0000     0.3474
    8.000     0.000   1.658588   0.094967   0.016565   0.111532   0.000000   0.000000  -0.958298   0.000000   0.000000   12.0000     0.3459
    8.250     0.000   1.678493   0.097266   0.016611   0.113877   0.000000   0.000000  -0.965820   0.000000   0.000000   12.0000     0.3445
    8.500     0.000   1.698341   0.099585   0.016691   0.116276   0.000000   0.000000  -0.973306   0.000000   0.000000   12.0000     0.3432
    8.750     0.000   1.718132   0.101925   0.016787   0.118712   0.000000   0.000000  -0.980756   0.000000   0.000000   12.0000     0.3418
    9.000     0.000   1.737866   0.104284   0.016903   0.121187   0.000000   0.000000  -0.988169   0.000000   0.000000   12.0000     0.3405
    9.250     0.000   1.757541   0.106662   0.017028   0.123690   0.000000   0.000000  -0.995545   0.000000   0.000000   12.0000     0.3393
    9.500     0.000   1.777158   0.109060   0.017153   0.126212   0.000000   0.000000  -1.002883   0.000000   0.000000   12.0000     0.3380
    9.750     0.000   1.796715   0.111476   0.017277   0.128753   0.000000   0.000000  -1.010181   0.000000   0.000000   12.0000     0.3368
   10.000     0.000   1.816211   0.113909   0.017407   0.131317   0.000000   0.000000  -1.017440  -0.000000   0.000000   12.0000     0.3356
   10.250     0.000   1.835647   0.116361   0.017540   0.133901   0.000000   0.000000  -1.024659  -0.000000   0.000000   12.0000     0.3345
