xflr5 v6.57

Plane name :        R23_LR315_Flap_-30_216in_AR_12,01
Polar name :        T1-12.0 m/s-VLM2
Freestream speed :  12.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.250     0.000  -0.992953   0.026803   0.311238   0.338041   0.000000  -0.000000   0.392667  -0.000000   0.000000   12.0000     0.1776
   -2.000     0.000  -0.970521   0.025611   0.324787   0.350398   0.000000  -0.000000   0.384853  -0.000000   0.000000   12.0000     0.1777
   -1.750     0.000  -0.948059   0.024445   0.318217   0.342662   0.000000  -0.000000   0.375905  -0.000000   0.000000   12.0000     0.1778
   -1.500     0.000  -0.925569   0.023305   0.311775   0.335080   0.000000  -0.000000   0.366957  -0.000000   0.000000   12.0000     0.1779
   -1.250     0.000  -0.903050   0.022191   0.306028   0.328218   0.000000  -0.000000   0.358038  -0.000000  -0.000000   12.0000     0.1780
   -1.000     0.000  -0.880504   0.021102   0.302616   0.323718   0.000000  -0.000000   0.349227  -0.000000  -0.000000   12.0000     0.1781
   -0.750     0.000  -0.857932   0.020040   0.299270   0.319310   0.000000  -0.000000   0.340398  -0.000000  -0.000000   12.0000     0.1782
   -0.500     0.000  -0.835333   0.019004   0.292632   0.311636   0.000000  -0.000000   0.331410  -0.000000  -0.000000   12.0000     0.1783
   -0.250     0.000  -0.812710   0.017995   0.286528   0.304522   0.000000  -0.000000   0.322440  -0.000000  -0.000000   12.0000     0.1785
    0.000     0.000  -0.790062   0.017012   0.280546   0.297558   0.000000  -0.000000   0.313472  -0.000000  -0.000000   12.0000     0.1786
    0.250     0.000  -0.767390   0.016056   0.274104   0.290159   0.000000  -0.000000   0.304483  -0.000000  -0.000000   12.0000     0.1788
    0.500     0.000  -0.744696   0.015127   0.267460   0.282587   0.000000  -0.000000   0.295485  -0.000000  -0.000000   12.0000     0.1789
    0.750     0.000  -0.721980   0.014224   0.260862   0.275086   0.000000  -0.000000   0.286491  -0.000000  -0.000000   12.0000     0.1791
    1.000     0.000  -0.699243   0.013349   0.253961   0.267310   0.000000  -0.000000   0.277491  -0.000000  -0.000000   12.0000     0.1793
    1.250     0.000  -0.676486   0.012502   0.247447   0.259948   0.000000  -0.000000   0.268501  -0.000000  -0.000000   12.0000     0.1795
    1.500     0.000  -0.653708   0.011681   0.241176   0.252857   0.000000  -0.000000   0.259521  -0.000000  -0.000000   12.0000     0.1798
    1.750     0.000  -0.630913   0.010888   0.235116   0.246004   0.000000  -0.000000   0.250548  -0.000000  -0.000000   12.0000     0.1800
    2.000     0.000  -0.608099   0.010122   0.228661   0.238784   0.000000  -0.000000   0.241566  -0.000000  -0.000000   12.0000     0.1803
    2.250     0.000  -0.585268   0.009384   0.222078   0.231463   0.000000  -0.000000   0.232585  -0.000000  -0.000000   12.0000     0.1806
    2.500     0.000  -0.562421   0.008674   0.215913   0.224587   0.000000  -0.000000   0.223636  -0.000000  -0.000000   12.0000     0.1809
    2.750     0.000  -0.539558   0.007992   0.210285   0.218277   0.000000  -0.000000   0.214694  -0.000000  -0.000000   12.0000     0.1812
    3.000     0.000  -0.516680   0.007337   0.204455   0.211792   0.000000  -0.000000   0.205751  -0.000000  -0.000000   12.0000     0.1816
    3.250     0.000  -0.493789   0.006710   0.197905   0.204615   0.000000  -0.000000   0.196812  -0.000000  -0.000000   12.0000     0.1820
    3.500     0.000  -0.470884   0.006112   0.192057   0.198168   0.000000  -0.000000   0.187878  -0.000000  -0.000000   12.0000     0.1824
    3.750     0.000  -0.447967   0.005541   0.185853   0.191394   0.000000  -0.000000   0.178958  -0.000000  -0.000000   12.0000     0.1829
    4.000     0.000  -0.425038   0.004999   0.179804   0.184803   0.000000  -0.000000   0.170039  -0.000000  -0.000000   12.0000     0.1835
    4.250     0.000  -0.402099   0.004484   0.172497   0.176981   0.000000  -0.000000   0.161126  -0.000000  -0.000000   12.0000     0.1841
    4.500     0.000  -0.379150   0.003998   0.164974   0.168972   0.000000  -0.000000   0.152220  -0.000000  -0.000000   12.0000     0.1848
    4.750     0.000  -0.356191   0.003540   0.153832   0.157372   0.000000  -0.000000   0.143271  -0.000000  -0.000000   12.0000     0.1856
    5.000     0.000  -0.333224   0.003110   0.112984   0.116094   0.000000  -0.000000   0.133767  -0.000000  -0.000000   12.0000     0.1865
    5.250     0.000  -0.310250   0.002709   0.081038   0.083747   0.000000  -0.000000   0.124679  -0.000000  -0.000000   12.0000     0.1875
    5.500     0.000  -0.287269   0.002335   0.065645   0.067980   0.000000  -0.000000   0.115907  -0.000000  -0.000000   12.0000     0.1887
    5.750     0.000  -0.264282   0.001991   0.048791   0.050782   0.000000  -0.000000   0.107288  -0.000000  -0.000000   12.0000     0.1901
    6.000     0.000  -0.241291   0.001674   0.043815   0.045489   0.000000  -0.000000   0.098565  -0.000000  -0.000000   12.0000     0.1917
    6.250     0.000  -0.218294   0.001386   0.039422   0.040807   0.000000  -0.000000   0.089861  -0.000000  -0.000000   12.0000     0.1937
    6.500     0.000  -0.195295   0.001126   0.036203   0.037329   0.000000  -0.000000   0.081171  -0.000000  -0.000000   12.0000     0.1962
    6.750     0.000  -0.172292   0.000894   0.033844   0.034738   0.000000  -0.000000   0.072492  -0.000000  -0.000000   12.0000     0.1993
    7.000     0.000  -0.149288   0.000691   0.031638   0.032329   0.000000  -0.000000   0.063815  -0.000000  -0.000000   12.0000     0.2034
    7.250     0.000  -0.126283   0.000516   0.029417   0.029934   0.000000  -0.000000   0.055139  -0.000000  -0.000000   12.0000     0.2090
    7.500     0.000  -0.103278   0.000369   0.027542   0.027911   0.000000  -0.000000   0.046463  -0.000000  -0.000000   12.0000     0.2171
    7.750     0.000  -0.080273   0.000251   0.025980   0.026231   0.000000  -0.000000   0.037784  -0.000000  -0.000000   12.0000     0.2298
    8.000     0.000  -0.057269   0.000161   0.024834   0.024995   0.000000  -0.000000   0.029096  -0.000000  -0.000000   12.0000     0.2527
    8.250     0.000  -0.034268   0.000099   0.024077   0.024175  -0.000000   0.000000   0.020408   0.000000   0.000000   12.0000     0.3063
    8.500     0.000  -0.011270   0.000065   0.023556   0.023620  -0.000000   0.000000   0.011713   0.000000   0.000000   12.0000     0.5786
    8.750     0.000   0.011725   0.000059   0.023245   0.023304  -0.000000   0.000000   0.003012   0.000000   0.000000   12.0000    -0.2171
    9.000     0.000   0.034715   0.000081   0.022989   0.023070  -0.000000   0.000000  -0.005690   0.000000   0.000000   12.0000     0.0412
    9.250     0.000   0.057699   0.000131   0.022771   0.022903  -0.000000   0.000000  -0.014392   0.000000   0.000000   12.0000     0.0937
    9.500     0.000   0.080677   0.000209   0.022581   0.022790  -0.000000   0.000000  -0.023093   0.000000   0.000000   12.0000     0.1163
    9.750     0.000   0.103649   0.000315   0.022454   0.022769  -0.000000   0.000000  -0.031794   0.000000   0.000000   12.0000     0.1289
   10.000     0.000   0.126612   0.000449   0.022428   0.022877  -0.000000   0.000000  -0.040495   0.000000   0.000000   12.0000     0.1369
   10.250     0.000   0.149567   0.000610   0.022417   0.023027  -0.000000   0.000000  -0.049192   0.000000   0.000000   12.0000     0.1425
   10.500     0.000   0.172512   0.000799   0.022415   0.023214  -0.000000   0.000000  -0.057887   0.000000   0.000000   12.0000     0.1465
   10.750     0.000   0.195447   0.001015   0.022425   0.023440  -0.000000   0.000000  -0.066579   0.000000   0.000000   12.0000     0.1497
   11.000     0.000   0.218371   0.001259   0.022507   0.023766  -0.000000   0.000000  -0.075270  -0.000000   0.000000   12.0000     0.1522
   11.250     0.000   0.241284   0.001530   0.022595   0.024124  -0.000000   0.000000  -0.083956  -0.000000   0.000000   12.0000     0.1542
   11.500     0.000   0.264183   0.001828   0.022644   0.024472  -0.000000   0.000000  -0.092630   0.000000   0.000000   12.0000     0.1558
   11.750     0.000   0.287070   0.002153   0.022812   0.024965  -0.000000   0.000000  -0.101300   0.000000   0.000000   12.0000     0.1573
   12.000     0.000   0.309942   0.002505   0.023471   0.025976  -0.000000   0.000000  -0.109973  -0.000000   0.000000   12.0000     0.1585
   12.250     0.000   0.332799   0.002884   0.024689   0.027574  -0.000000   0.000000  -0.118670  -0.000000   0.000000   12.0000     0.1595
   12.500     0.000   0.355641   0.003290   0.025768   0.029058  -0.000000   0.000000  -0.127369  -0.000000   0.000000   12.0000     0.1604
   12.750     0.000   0.378465   0.003722   0.026168   0.029891  -0.000000   0.000000  -0.136028  -0.000000   0.000000   12.0000     0.1612
   13.000     0.000   0.401273   0.004181   0.026388   0.030569  -0.000000   0.000000  -0.144668  -0.000000   0.000000   12.0000     0.1619
   13.250     0.000   0.424063   0.004666   0.026613   0.031279  -0.000000   0.000000  -0.153299  -0.000000   0.000000   12.0000     0.1626
   13.500     0.000   0.446833   0.005177   0.026845   0.032022  -0.000000   0.000000  -0.161920  -0.000000   0.000000   12.0000     0.1632
   13.750     0.000   0.469584   0.005714   0.027082   0.032796  -0.000000   0.000000  -0.170531  -0.000000   0.000000   12.0000     0.1637
   14.000     0.000   0.492315   0.006277   0.027288   0.033565  -0.000000   0.000000  -0.179127  -0.000000   0.000000   12.0000     0.1642
   14.250     0.000   0.515024   0.006866   0.027455   0.034321  -0.000000   0.000000  -0.187707  -0.000000   0.000000   12.0000     0.1646
   14.500     0.000   0.537711   0.007480   0.027609   0.035089  -0.000000   0.000000  -0.196272  -0.000000   0.000000   12.0000     0.1651


