xflr5 v6.57

Plane name :        R23_PP02_8%c_216in_AR_15,02_v4
Polar name :        T1-12.0 m/s-VLM2
Freestream speed :  12.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -15.000     0.000  -0.237436   0.001191   0.173262   0.174453   0.000000  -0.000000  -0.235235  -0.000000   0.000000   12.0000    -0.4157
  -14.750     0.000  -0.213618   0.000973   0.171932   0.172905   0.000000  -0.000000  -0.244266  -0.000000   0.000000   12.0000    -0.4773
  -14.500     0.000  -0.189787   0.000779   0.165741   0.166519   0.000000  -0.000000  -0.253615  -0.000000   0.000000   12.0000    -0.5544
  -14.250     0.000  -0.165945   0.000608   0.158342   0.158950   0.000000  -0.000000  -0.263052  -0.000000   0.000000   12.0000    -0.6537
  -14.000     0.000  -0.142093   0.000460   0.152199   0.152659   0.000000  -0.000000  -0.272391  -0.000000   0.000000   12.0000    -0.7863
  -13.750     0.000  -0.118230   0.000337   0.147443   0.147780   0.000000  -0.000000  -0.281607  -0.000000   0.000000   12.0000    -0.9725
  -13.500     0.000  -0.094358   0.000237   0.142333   0.142570   0.000000  -0.000000  -0.290849  -0.000000   0.000000   12.0000    -1.2529
  -13.250     0.000  -0.070478   0.000161   0.137811   0.137972   0.000000  -0.000000  -0.300051  -0.000000   0.000000   12.0000    -1.7235
  -13.000     0.000  -0.046591   0.000109   0.133716   0.133825   0.000000  -0.000000  -0.309239  -0.000000   0.000000   12.0000    -2.6767
  -12.750     0.000  -0.022696   0.000081   0.127632   0.127713   0.000000  -0.000000  -0.318627  -0.000000  -0.000000   12.0000    -5.6375
  -12.500     0.000   0.001204   0.000077   0.121093   0.121170   0.000000  -0.000000  -0.327989  -0.000000   0.000000   12.0000   108.9586
  -12.250     0.000   0.025110   0.000098   0.112859   0.112957  -0.000000  -0.000000  -0.337488  -0.000000   0.000000   12.0000     5.3534
  -12.000     0.000   0.049020   0.000142   0.101654   0.101796  -0.000000   0.000000  -0.347150   0.000000   0.000000   12.0000     2.8082
  -11.750     0.000   0.072934   0.000211   0.093492   0.093704  -0.000000   0.000000  -0.356624   0.000000   0.000000   12.0000     1.9317
  -11.500     0.000   0.096851   0.000305   0.087721   0.088026  -0.000000   0.000000  -0.365920   0.000000   0.000000   12.0000     1.4880
  -11.250     0.000   0.120770   0.000423   0.078341   0.078764  -0.000000   0.000000  -0.375430   0.000000   0.000000   12.0000     1.2200
  -11.000     0.000   0.144690   0.000565   0.073051   0.073616  -0.000000   0.000000  -0.384687   0.000000   0.000000   12.0000     1.0406
  -10.750     0.000   0.168611   0.000732   0.066663   0.067396  -0.000000   0.000000  -0.393964   0.000000   0.000000   12.0000     0.9120
  -10.500     0.000   0.192532   0.000924   0.060532   0.061456  -0.000000   0.000000  -0.403227   0.000000   0.000000   12.0000     0.8154
  -10.250     0.000   0.216452   0.001140   0.054186   0.055326  -0.000000   0.000000  -0.412498   0.000000   0.000000   12.0000     0.7401
  -10.000     0.000   0.240370   0.001381   0.048760   0.050141  -0.000000   0.000000  -0.421722   0.000000   0.000000   12.0000     0.6798
   -9.750     0.000   0.264286   0.001646   0.044195   0.045841  -0.000000   0.000000  -0.430896   0.000000   0.000000   12.0000     0.6305
   -9.500     0.000   0.288199   0.001937   0.039410   0.041347  -0.000000   0.000000  -0.440077   0.000000   0.000000   12.0000     0.5893
   -9.250     0.000   0.312107   0.002251   0.035057   0.037309  -0.000000   0.000000  -0.449223   0.000000   0.000000   12.0000     0.5544
   -9.000     0.000   0.336011   0.002591   0.031799   0.034390  -0.000000   0.000000  -0.458291   0.000000   0.000000   12.0000     0.5245
   -8.750     0.000   0.359909   0.002955   0.029718   0.032673  -0.000000   0.000000  -0.467299   0.000000   0.000000   12.0000     0.4985
   -8.500     0.000   0.383800   0.003345   0.028326   0.031670  -0.000000   0.000000  -0.476276   0.000000   0.000000   12.0000     0.4758
   -8.250     0.000   0.407685   0.003758   0.027297   0.031055  -0.000000   0.000000  -0.485229   0.000000   0.000000   12.0000     0.4557
   -8.000     0.000   0.431561   0.004197   0.025986   0.030183  -0.000000   0.000000  -0.494202   0.000000   0.000000   12.0000     0.4379
   -7.750     0.000   0.455429   0.004660   0.024601   0.029261  -0.000000   0.000000  -0.503180   0.000000   0.000000   12.0000     0.4219
   -7.500     0.000   0.479288   0.005148   0.023263   0.028411  -0.000000   0.000000  -0.512153   0.000000   0.000000   12.0000     0.4075
   -7.250     0.000   0.503136   0.005661   0.021998   0.027659  -0.000000   0.000000  -0.521121   0.000000   0.000000   12.0000     0.3945
   -7.000     0.000   0.526973   0.006198   0.020742   0.026940  -0.000000   0.000000  -0.530086   0.000000   0.000000   12.0000     0.3827
   -6.750     0.000   0.550798   0.006760   0.019487   0.026247  -0.000000   0.000000  -0.539047   0.000000   0.000000   12.0000     0.3719
   -6.500     0.000   0.574610   0.007346   0.018271   0.025617  -0.000000   0.000000  -0.548003   0.000000   0.000000   12.0000     0.3620
   -6.250     0.000   0.598409   0.007957   0.017361   0.025318  -0.000000   0.000000  -0.556942   0.000000   0.000000   12.0000     0.3529
   -6.000     0.000   0.622194   0.008592   0.016716   0.025308  -0.000000   0.000000  -0.565866   0.000000   0.000000   12.0000     0.3444
   -5.750     0.000   0.645964   0.009252   0.016259   0.025511  -0.000000   0.000000  -0.574778   0.000000   0.000000   12.0000     0.3366
   -5.500     0.000   0.669719   0.009936   0.015957   0.025893  -0.000000   0.000000  -0.583679   0.000000   0.000000   12.0000     0.3294
   -5.250     0.000   0.693457   0.010645   0.015671   0.026316  -0.000000   0.000000  -0.592575   0.000000   0.000000   12.0000     0.3226
   -5.000     0.000   0.717177   0.011378   0.015385   0.026763  -0.000000   0.000000  -0.601466   0.000000   0.000000   12.0000     0.3163
   -4.750     0.000   0.740880   0.012135   0.015111   0.027245  -0.000000   0.000000  -0.610352   0.000000   0.000000   12.0000     0.3105
   -4.500     0.000   0.764563   0.012916   0.014853   0.027769  -0.000000   0.000000  -0.619231   0.000000   0.000000   12.0000     0.3049
   -4.250     0.000   0.788228   0.013721   0.014569   0.028290  -0.000000   0.000000  -0.628105   0.000000   0.000000   12.0000     0.2997
   -4.000     0.000   0.811871   0.014550   0.014349   0.028899  -0.000000   0.000000  -0.636969   0.000000   0.000000   12.0000     0.2948
   -3.750     0.000   0.835494   0.015403   0.014255   0.029658  -0.000000   0.000000  -0.645822   0.000000   0.000000   12.0000     0.2902
   -3.500     0.000   0.859095   0.016280   0.014243   0.030523  -0.000000   0.000000  -0.654666   0.000000   0.000000   12.0000     0.2859
   -3.250     0.000   0.882673   0.017180   0.014261   0.031441  -0.000000   0.000000  -0.663500   0.000000   0.000000   12.0000     0.2818
   -3.000     0.000   0.906228   0.018104   0.014301   0.032405  -0.000000   0.000000  -0.672325   0.000000   0.000000   12.0000     0.2779
   -2.750     0.000   0.929759   0.019051   0.014356   0.033407  -0.000000   0.000000  -0.681140   0.000000   0.000000   12.0000     0.2742
   -2.500     0.000   0.953264   0.020022   0.014416   0.034438  -0.000000   0.000000  -0.689944   0.000000   0.000000   12.0000     0.2706
   -2.250     0.000   0.976745   0.021016   0.014471   0.035486  -0.000000   0.000000  -0.698738   0.000000   0.000000   12.0000     0.2673
   -2.000     0.000   1.000198   0.022033   0.014525   0.036558  -0.000000   0.000000  -0.707520   0.000000   0.000000   12.0000     0.2641
   -1.750     0.000   1.023625   0.023073   0.014571   0.037644  -0.000000   0.000000  -0.716289   0.000000   0.000000   12.0000     0.2611
