xflr5 v6.57

Plane name :        R23_LR315_168in_AR_11,08
Polar name :        R23_LR315_168in_AR_11,08-12.0 m/s-VLM2
Freestream speed :  12.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000   0.124574   0.000515   0.129443   0.129958   0.000000   0.000000  -0.350962   0.000000   0.000000   12.0000     1.1739
   -9.000     0.000   0.215384   0.001400   0.119651   0.121052   0.000000   0.000000  -0.386648   0.000000   0.000000   12.0000     0.7406
   -8.000     0.000   0.306163   0.002762   0.104638   0.107400   0.000000   0.000000  -0.422554   0.000000   0.000000   12.0000     0.5642
   -7.000     0.000   0.396860   0.004601   0.084522   0.089123   0.000000   0.000000  -0.458595   0.000000   0.000000   12.0000     0.4684
   -6.000     0.000   0.487421   0.006916   0.065334   0.072250   0.000000   0.000000  -0.494387   0.000000   0.000000   12.0000     0.4083
   -5.000     0.000   0.577794   0.009705   0.052960   0.062665   0.000000   0.000000  -0.529728   0.000000   0.000000   12.0000     0.3670
   -4.000     0.000   0.667927   0.012966   0.043985   0.056951   0.000000   0.000000  -0.564752   0.000000   0.000000   12.0000     0.3370
   -3.000     0.000   0.757767   0.016691   0.035283   0.051974   0.000000   0.000000  -0.599540   0.000000   0.000000   12.0000     0.3141
   -2.000     0.000   0.847263   0.020877   0.025390   0.046266   0.000000   0.000000  -0.634091   0.000000   0.000000   12.0000     0.2961
   -1.000     0.000   0.936363   0.025513   0.020401   0.045914   0.000000   0.000000  -0.668308   0.000000   0.000000   12.0000     0.2815
    0.000     0.000   1.025016   0.030592   0.018696   0.049288   0.000000   0.000000  -0.702230   0.000000   0.000000   12.0000     0.2696
    1.000     0.000   1.113172   0.036102   0.018917   0.055019   0.000000   0.000000  -0.735873   0.000000   0.000000   12.0000     0.2595
    2.000     0.000   1.200781   0.042032   0.018581   0.060613   0.000000   0.000000  -0.769205   0.000000   0.000000   12.0000     0.2510
    3.000     0.000   1.287795   0.048368   0.018547   0.066915   0.000000   0.000000  -0.802194   0.000000   0.000000   12.0000     0.2437
    4.000     0.000   1.374165   0.055096   0.018768   0.073864   0.000000   0.000000  -0.834804   0.000000   0.000000   12.0000     0.2374
    5.000     0.000   1.459844   0.062200   0.019058   0.081258   0.000000   0.000000  -0.866996   0.000000   0.000000   12.0000     0.2318
    6.000     0.000   1.544785   0.069663   0.019362   0.089024   0.000000   0.000000  -0.898731   0.000000   0.000000   12.0000     0.2269
    7.000     0.000   1.628944   0.077467   0.019542   0.097008   0.000000   0.000000  -0.929964   0.000000   0.000000   12.0000     0.2226
    8.000     0.000   1.712277   0.085592   0.020066   0.105658   0.000000   0.000000  -0.960677  -0.000000   0.000000   12.0000     0.2187
    9.000     0.000   1.794739   0.094019   0.020703   0.114722   0.000000   0.000000  -0.990828  -0.000000   0.000000   12.0000     0.2152
   10.000     0.000   1.876290   0.102727   0.021417   0.124143   0.000000   0.000000  -1.020380  -0.000000   0.000000   12.0000     0.2121
   11.000     0.000   1.956889   0.111692   0.022188   0.133880   0.000000   0.000000  -1.049297  -0.000000   0.000000   12.0000     0.2093
   12.000     0.000   2.036497   0.120893   0.023030   0.143923   0.000000   0.000000  -1.077545  -0.000000   0.000000   12.0000     0.2067
   13.000     0.000   2.115076   0.130304   0.023989   0.154293   0.000000   0.000000  -1.105097  -0.000000   0.000000   12.0000     0.2044
   14.000     0.000   2.192589   0.139903   0.025111   0.165014   0.000000   0.000000  -1.131923  -0.000000   0.000000   12.0000     0.2023
   15.000     0.000   2.269003   0.149662   0.026481   0.176143   0.000000   0.000000  -1.158001  -0.000000   0.000000   12.0000     0.2003
   16.000     0.000   2.344282   0.159557   0.030353   0.189910   0.000000   0.000000  -1.183486  -0.000000   0.000000   12.0000     0.1985


