xflr5 v6.57

Plane name :        R23_LR315_168in_AR_9,34
Polar name :        R23_LR315_168in_AR_9,34_TX-12.0 m/s-VLM2
Freestream speed :  12.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000   0.125534   0.000605   0.129469   0.130074   0.000000   0.000000  -0.351118   0.000000   0.000000   12.0000     1.3841
   -9.750     0.000   0.147445   0.000807   0.127484   0.128292   0.000000   0.000000  -0.359793   0.000000   0.000000   12.0000     1.2044
   -9.500     0.000   0.169357   0.001043   0.125609   0.126652   0.000000   0.000000  -0.368461   0.000000   0.000000   12.0000     1.0712
   -9.250     0.000   0.191269   0.001311   0.123438   0.124749   0.000000   0.000000  -0.377142   0.000000   0.000000   12.0000     0.9685
   -9.000     0.000   0.213180   0.001611   0.120623   0.122234   0.000000   0.000000  -0.385855   0.000000   0.000000   12.0000     0.8869
   -8.750     0.000   0.235090   0.001945   0.117418   0.119363   0.000000   0.000000  -0.394588   0.000000   0.000000   12.0000     0.8205
   -8.500     0.000   0.256997   0.002311   0.114156   0.116467   0.000000   0.000000  -0.403323   0.000000   0.000000   12.0000     0.7654
   -8.250     0.000   0.278900   0.002710   0.110070   0.112780   0.000000   0.000000  -0.412092   0.000000   0.000000   12.0000     0.7190
   -8.000     0.000   0.300800   0.003142   0.105653   0.108795   0.000000   0.000000  -0.420864   0.000000   0.000000   12.0000     0.6793
   -7.750     0.000   0.322694   0.003606   0.100497   0.104104   0.000000   0.000000  -0.429670   0.000000   0.000000   12.0000     0.6450
   -7.500     0.000   0.344582   0.004104   0.095534   0.099638   0.000000   0.000000  -0.438459   0.000000   0.000000   12.0000     0.6151
   -7.250     0.000   0.366464   0.004634   0.090296   0.094930   0.000000   0.000000  -0.447247   0.000000   0.000000   12.0000     0.5887
   -7.000     0.000   0.388337   0.005197   0.085624   0.090821   0.000000   0.000000  -0.455998   0.000000   0.000000   12.0000     0.5653
   -6.750     0.000   0.410203   0.005793   0.080285   0.086078   0.000000   0.000000  -0.464758   0.000000   0.000000   12.0000     0.5444
   -6.500     0.000   0.432059   0.006421   0.074584   0.081005   0.000000   0.000000  -0.473519   0.000000   0.000000   12.0000     0.5256
   -6.250     0.000   0.453905   0.007082   0.069714   0.076797   0.000000   0.000000  -0.482228   0.000000   0.000000   12.0000     0.5087
   -6.000     0.000   0.475740   0.007776   0.065341   0.073116   0.000000   0.000000  -0.490917   0.000000   0.000000   12.0000     0.4933
   -5.750     0.000   0.497563   0.008502   0.061843   0.070345   0.000000   0.000000  -0.499552   0.000000   0.000000   12.0000     0.4792
   -5.500     0.000   0.519373   0.009261   0.057505   0.066766   0.000000   0.000000  -0.508202   0.000000   0.000000   12.0000     0.4663
   -5.250     0.000   0.541170   0.010052   0.055086   0.065139   0.000000   0.000000  -0.516772   0.000000   0.000000   12.0000     0.4545
   -5.000     0.000   0.562953   0.010876   0.052895   0.063771   0.000000   0.000000  -0.525323   0.000000   0.000000   12.0000     0.4436
   -4.750     0.000   0.584720   0.011732   0.050162   0.061894   0.000000   0.000000  -0.533880   0.000000   0.000000   12.0000     0.4335
   -4.500     0.000   0.606471   0.012620   0.047512   0.060132   0.000000   0.000000  -0.542414   0.000000   0.000000   12.0000     0.4241
   -4.250     0.000   0.628205   0.013541   0.045261   0.058802   0.000000   0.000000  -0.550925   0.000000   0.000000   12.0000     0.4154
   -4.000     0.000   0.649922   0.014493   0.042865   0.057358   0.000000   0.000000  -0.559427   0.000000   0.000000   12.0000     0.4073
   -3.750     0.000   0.671620   0.015478   0.041366   0.056844   0.000000   0.000000  -0.567894   0.000000   0.000000   12.0000     0.3997
   -3.500     0.000   0.693298   0.016494   0.039130   0.055625   0.000000   0.000000  -0.576362   0.000000   0.000000   12.0000     0.3926
   -3.250     0.000   0.714957   0.017543   0.036817   0.054360   0.000000   0.000000  -0.584817   0.000000   0.000000   12.0000     0.3859
   -3.000     0.000   0.736594   0.018623   0.034427   0.053050   0.000000   0.000000  -0.593258   0.000000   0.000000   12.0000     0.3796
   -2.750     0.000   0.758209   0.019734   0.031913   0.051647   0.000000   0.000000  -0.601683   0.000000   0.000000   12.0000     0.3737
   -2.500     0.000   0.779802   0.020877   0.029462   0.050339   0.000000   0.000000  -0.610090   0.000000   0.000000   12.0000     0.3681
   -2.250     0.000   0.801371   0.022051   0.027998   0.050049   0.000000   0.000000  -0.618467   0.000000   0.000000   12.0000     0.3628
   -2.000     0.000   0.822916   0.023257   0.026512   0.049769   0.000000   0.000000  -0.626828   0.000000   0.000000   12.0000     0.3578
   -1.750     0.000   0.844435   0.024493   0.025132   0.049625   0.000000   0.000000  -0.635171   0.000000   0.000000   12.0000     0.3531
   -1.500     0.000   0.865929   0.025760   0.023297   0.049057   0.000000   0.000000  -0.643501   0.000000   0.000000   12.0000     0.3485
   -1.250     0.000   0.887395   0.027058   0.021670   0.048728   0.000000   0.000000  -0.651811   0.000000   0.000000   12.0000     0.3443
   -1.000     0.000   0.908834   0.028386   0.020735   0.049121   0.000000   0.000000  -0.660098   0.000000   0.000000   12.0000     0.3402
