xflr5 v6.57

Plane name :        R23_LR315_216in_AR_12,01_HS_0,75
Polar name :        T1-12.0 m/s-VLM2
Freestream speed :  12.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -9.000     0.000   0.221076   0.013441   0.089428   0.102869  -0.000000  -0.000000   0.326220  -0.000000   0.000000   12.0000    -0.7040
   -8.750     0.000   0.245990   0.013535   0.083906   0.097441   0.000000  -0.000000   0.308762  -0.000000  -0.000000   12.0000    -0.5990
   -8.500     0.000   0.270904   0.013662   0.077823   0.091486   0.000000  -0.000000   0.291298  -0.000000   0.000000   12.0000    -0.5132
   -8.250     0.000   0.295817   0.013825   0.072227   0.086051   0.000000  -0.000000   0.273827   0.000000   0.000000   12.0000    -0.4419
   -8.000     0.000   0.320727   0.014021   0.067472   0.081493   0.000000  -0.000000   0.256450  -0.000000   0.000000   12.0000    -0.3817
   -7.750     0.000   0.345635   0.014252   0.063687   0.077939   0.000000  -0.000000   0.239030  -0.000000  -0.000000   12.0000    -0.3302
   -7.500     0.000   0.370539   0.014517   0.058961   0.073477   0.000000  -0.000000   0.221545  -0.000000  -0.000000   12.0000    -0.2856
   -7.250     0.000   0.395437   0.014816   0.056481   0.071298   0.000000  -0.000000   0.204121  -0.000000   0.000000   12.0000    -0.2466
   -7.000     0.000   0.420330   0.015150   0.053617   0.068768   0.000000   0.000000   0.186693  -0.000000   0.000000   12.0000    -0.2122
   -6.750     0.000   0.445216   0.015519   0.050583   0.066102   0.000000   0.000000   0.169283   0.000000  -0.000000   12.0000    -0.1816
   -6.500     0.000   0.470095   0.015922   0.048005   0.063927   0.000000   0.000000   0.151860  -0.000000   0.000000   12.0000    -0.1543
   -6.250     0.000   0.494964   0.016359   0.045450   0.061810   0.000000   0.000000   0.134427   0.000000   0.000000   12.0000    -0.1298
   -6.000     0.000   0.519825   0.016831   0.043165   0.059996   0.000000   0.000000   0.116977   0.000000  -0.000000   12.0000    -0.1076
   -5.750     0.000   0.544674   0.017337   0.041339   0.058677   0.000000   0.000000   0.099513   0.000000   0.000000   12.0000    -0.0874
   -5.500     0.000   0.569512   0.017878   0.038758   0.056636   0.000000   0.000000   0.082055   0.000000   0.000000   12.0000    -0.0690
   -5.250     0.000   0.594338   0.018453   0.036191   0.054644   0.000000   0.000000   0.064541   0.000000   0.000000   12.0000    -0.0521
   -5.000     0.000   0.619151   0.019062   0.033615   0.052677   0.000000   0.000000   0.047051   0.000000   0.000000   12.0000    -0.0365
   -4.750     0.000   0.643949   0.019706   0.030982   0.050688   0.000000   0.000000   0.029513   0.000000   0.000000   12.0000    -0.0222
   -4.500     0.000   0.668733   0.020384   0.029276   0.049660   0.000000   0.000000   0.011985   0.000000   0.000000   12.0000    -0.0089
   -4.250     0.000   0.693500   0.021096   0.027788   0.048884   0.000000   0.000000  -0.005549   0.000000   0.000000   12.0000     0.0034
   -4.000     0.000   0.718250   0.021842   0.026238   0.048080   0.000000   0.000000  -0.023106   0.000000   0.000000   12.0000     0.0148
   -3.750     0.000   0.742983   0.022623   0.024338   0.046961   0.000000   0.000000  -0.040675   0.000000  -0.000000   12.0000     0.0256
   -3.500     0.000   0.767696   0.023437   0.022663   0.046100   0.000000   0.000000  -0.058232   0.000000   0.000000   12.0000     0.0356
   -3.250     0.000   0.792390   0.024286   0.021813   0.046098   0.000000   0.000000  -0.075750  -0.000000   0.000000   12.0000     0.0450
   -3.000     0.000   0.817063   0.025168   0.021224   0.046392   0.000000   0.000000  -0.093432  -0.000000   0.000000   12.0000     0.0538
