xflr5 v6.57

Plane name :        R23_LR315_216in_AR_8,99
Polar name :        R23_LR315_216in_AR_8,99_TX-12.0 m/s-VLM2
Freestream speed :  12.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000   0.126423   0.000649   0.132300   0.132949   0.000000   0.000000  -0.357492   0.000000   0.000000   12.0000     1.8617
   -9.750     0.000   0.148069   0.000860   0.130229   0.131088   0.000000   0.000000  -0.365859   0.000000   0.000000   12.0000     1.6227
   -9.500     0.000   0.169716   0.001103   0.127652   0.128755   0.000000   0.000000  -0.374249   0.000000   0.000000   12.0000     1.4446
   -9.250     0.000   0.191363   0.001380   0.124783   0.126163   0.000000   0.000000  -0.382653   0.000000   0.000000   12.0000     1.3068
   -9.000     0.000   0.213009   0.001690   0.122606   0.124295   0.000000   0.000000  -0.391026   0.000000   0.000000   12.0000     1.1970
   -8.750     0.000   0.234653   0.002033   0.119059   0.121092   0.000000   0.000000  -0.399459   0.000000   0.000000   12.0000     1.1074
   -8.500     0.000   0.256295   0.002409   0.114344   0.116754   0.000000   0.000000  -0.407943   0.000000   0.000000   12.0000     1.0330
   -8.250     0.000   0.277933   0.002819   0.108182   0.111001   0.000000   0.000000  -0.416490   0.000000   0.000000   12.0000     0.9701
   -8.000     0.000   0.299568   0.003262   0.101864   0.105126   0.000000   0.000000  -0.425040   0.000000   0.000000   12.0000     0.9163
   -7.750     0.000   0.321197   0.003739   0.096757   0.100496   0.000000   0.000000  -0.433527   0.000000   0.000000   12.0000     0.8698
   -7.500     0.000   0.342820   0.004248   0.092332   0.096581   0.000000   0.000000  -0.441966   0.000000   0.000000   12.0000     0.8291
   -7.250     0.000   0.364436   0.004791   0.086654   0.091445   0.000000   0.000000  -0.450459   0.000000   0.000000   12.0000     0.7933
   -7.000     0.000   0.386045   0.005368   0.081766   0.087134   0.000000   0.000000  -0.458886   0.000000   0.000000   12.0000     0.7614
   -6.750     0.000   0.407645   0.005977   0.075756   0.081733   0.000000   0.000000  -0.467337   0.000000   0.000000   12.0000     0.7330
   -6.500     0.000   0.429236   0.006620   0.069484   0.076104   0.000000   0.000000  -0.475796   0.000000   0.000000   12.0000     0.7074
   -6.250     0.000   0.450817   0.007296   0.064647   0.071943   0.000000   0.000000  -0.484177   0.000000   0.000000   12.0000     0.6843
   -6.000     0.000   0.472387   0.008005   0.060606   0.068611   0.000000   0.000000  -0.492520   0.000000   0.000000   12.0000     0.6632
   -5.750     0.000   0.493944   0.008747   0.057092   0.065839   0.000000   0.000000  -0.500829   0.000000   0.000000   12.0000     0.6441
   -5.500     0.000   0.515490   0.009523   0.053306   0.062829   0.000000   0.000000  -0.509130   0.000000   0.000000   12.0000     0.6265
   -5.250     0.000   0.537021   0.010331   0.050096   0.060427   0.000000   0.000000  -0.517399   0.000000   0.000000   12.0000     0.6103
   -5.000     0.000   0.558538   0.011172   0.047990   0.059162   0.000000   0.000000  -0.525615   0.000000   0.000000   12.0000     0.5954
   -4.750     0.000   0.580040   0.012046   0.045902   0.057948   0.000000   0.000000  -0.533818   0.000000   0.000000   12.0000     0.5816
   -4.500     0.000   0.601526   0.012953   0.043301   0.056255   0.000000   0.000000  -0.542025   0.000000   0.000000   12.0000     0.5688
   -4.250     0.000   0.622995   0.013893   0.040544   0.054436   0.000000   0.000000  -0.550220   0.000000   0.000000   12.0000     0.5569
   -4.000     0.000   0.644446   0.014865   0.038155   0.053020   0.000000   0.000000  -0.558388   0.000000   0.000000   12.0000     0.5458
   -3.750     0.000   0.665879   0.015869   0.035946   0.051815   0.000000   0.000000  -0.566539   0.000000   0.000000   12.0000     0.5354
   -3.500     0.000   0.687292   0.016906   0.033582   0.050489   0.000000   0.000000  -0.574679   0.000000   0.000000   12.0000     0.5256
   -3.250     0.000   0.708685   0.017976   0.031101   0.049077   0.000000   0.000000  -0.582807   0.000000   0.000000   12.0000     0.5165
   -3.000     0.000   0.730057   0.019077   0.029080   0.048157   0.000000   0.000000  -0.590910   0.000000   0.000000   12.0000     0.5079
   -2.750     0.000   0.751406   0.020211   0.027689   0.047900   0.000000   0.000000  -0.598988   0.000000   0.000000   12.0000     0.4998
   -2.500     0.000   0.772733   0.021376   0.026629   0.048005   0.000000   0.000000  -0.607045   0.000000   0.000000   12.0000     0.4921
   -2.250     0.000   0.794037   0.022573   0.023573   0.046146   0.000000   0.000000  -0.615113   0.000000   0.000000   12.0000     0.4849
   -2.000     0.000   0.815316   0.023802   0.021495   0.045297   0.000000   0.000000  -0.623152   0.000000   0.000000   12.0000     0.4780
   -1.750     0.000   0.836570   0.025062   0.020595   0.045657   0.000000   0.000000  -0.631161   0.000000   0.000000   12.0000     0.4715
   -1.500     0.000   0.857797   0.026354   0.020050   0.046404   0.000000   0.000000  -0.639150   0.000000   0.000000   12.0000     0.4653
   -1.250     0.000   0.878998   0.027677   0.019324   0.047000   0.000000   0.000000  -0.647125   0.000000   0.000000   12.0000     0.4594
   -1.000     0.000   0.900171   0.029030   0.018694   0.047724   0.000000   0.000000  -0.655082   0.000000   0.000000   12.0000     0.4539
   -0.750     0.000   0.921316   0.030415   0.018274   0.048688   0.000000   0.000000  -0.663022   0.000000   0.000000   12.0000     0.4485
   -0.500     0.000   0.942431   0.031830   0.017932   0.049763   0.000000   0.000000  -0.670946   0.000000   0.000000   12.0000     0.4434
   -0.250     0.000   0.963516   0.033276   0.017575   0.050851   0.000000   0.000000  -0.678852   0.000000   0.000000   12.0000     0.4386
    0.000     0.000   0.984570   0.034752   0.017240   0.051992   0.000000   0.000000  -0.686742   0.000000   0.000000   12.0000     0.4339
    0.250     0.000   1.005592   0.036258   0.016927   0.053185   0.000000   0.000000  -0.694614   0.000000   0.000000   12.0000     0.4295
    0.500     0.000   1.026582   0.037794   0.016728   0.054522   0.000000   0.000000  -0.702468   0.000000   0.000000   12.0000     0.4252
    0.750     0.000   1.047539   0.039359   0.016565   0.055925   0.000000   0.000000  -0.710304   0.000000   0.000000   12.0000     0.4212
    1.000     0.000   1.068461   0.040955   0.016438   0.057393   0.000000   0.000000  -0.718121   0.000000   0.000000   12.0000     0.4172
    1.250     0.000   1.089348   0.042579   0.016306   0.058885   0.000000   0.000000  -0.725920  -0.000000   0.000000   12.0000     0.4135
    1.500     0.000   1.110200   0.044232   0.016099   0.060332   0.000000   0.000000  -0.733697  -0.000000   0.000000   12.0000     0.4099
    1.750     0.000   1.131015   0.045914   0.015947   0.061861   0.000000   0.000000  -0.741454   0.000000   0.000000   12.0000     0.4064
    2.000     0.000   1.151793   0.047625   0.015889   0.063514   0.000000   0.000000  -0.749192   0.000000   0.000000   12.0000     0.4031
    2.250     0.000   1.172533   0.049364   0.015733   0.065097   0.000000   0.000000  -0.756906  -0.000000   0.000000   12.0000     0.3998
    2.500     0.000   1.193233   0.051131   0.015664   0.066795   0.000000   0.000000  -0.764600  -0.000000   0.000000   12.0000     0.3967
    2.750     0.000   1.213895   0.052926   0.015627   0.068553   0.000000   0.000000  -0.772272  -0.000000   0.000000   12.0000     0.3938
    3.000     0.000   1.234516   0.054748   0.015562   0.070310   0.000000   0.000000  -0.779920  -0.000000   0.000000   12.0000     0.3909
    3.250     0.000   1.255095   0.056598   0.015548   0.072146   0.000000   0.000000  -0.787546  -0.000000   0.000000   12.0000     0.3881
    3.500     0.000   1.275633   0.058475   0.015581   0.074055   0.000000   0.000000  -0.795149  -0.000000   0.000000   12.0000     0.3854
    3.750     0.000   1.296128   0.060378   0.015597   0.075975   0.000000   0.000000  -0.802727  -0.000000   0.000000   12.0000     0.3828
    4.000     0.000   1.316580   0.062308   0.015574   0.077883   0.000000   0.000000  -0.810279  -0.000000   0.000000   12.0000     0.3803
    4.250     0.000   1.336987   0.064264   0.015655   0.079919   0.000000   0.000000  -0.817808  -0.000000   0.000000   12.0000     0.3779
    4.500     0.000   1.357350   0.066246   0.015727   0.081973   0.000000   0.000000  -0.825311  -0.000000   0.000000   12.0000     0.3755
    4.750     0.000   1.377666   0.068254   0.015756   0.084010   0.000000   0.000000  -0.832786  -0.000000   0.000000   12.0000     0.3732
    5.000     0.000   1.397937   0.070287   0.015819   0.086105   0.000000   0.000000  -0.840235  -0.000000   0.000000   12.0000     0.3710
    5.250     0.000   1.418160   0.072345   0.015899   0.088243   0.000000   0.000000  -0.847657  -0.000000   0.000000   12.0000     0.3689
    5.500     0.000   1.438336   0.074427   0.015944   0.090371   0.000000   0.000000  -0.855049  -0.000000   0.000000   12.0000     0.3668
    5.750     0.000   1.458462   0.076534   0.015993   0.092527   0.000000   0.000000  -0.862412  -0.000000   0.000000   12.0000     0.3648
    6.000     0.000   1.478540   0.078665   0.016068   0.094733   0.000000   0.000000  -0.869747  -0.000000   0.000000   12.0000     0.3629
    6.250     0.000   1.498567   0.080820   0.016112   0.096932   0.000000   0.000000  -0.877050  -0.000000   0.000000   12.0000     0.3610
    6.500     0.000   1.518544   0.082998   0.016193   0.099191   0.000000   0.000000  -0.884325  -0.000000   0.000000   12.0000     0.3591
    6.750     0.000   1.538469   0.085199   0.016236   0.101434   0.000000   0.000000  -0.891567  -0.000000   0.000000   12.0000     0.3573
    7.000     0.000   1.558343   0.087423   0.016294   0.103717   0.000000   0.000000  -0.898778   0.000000   0.000000   12.0000     0.3556
    7.250     0.000   1.578163   0.089669   0.016356   0.106025   0.000000   0.000000  -0.905957   0.000000   0.000000   12.0000     0.3539
    7.500     0.000   1.597930   0.091937   0.016388   0.108326   0.000000   0.000000  -0.913101   0.000000   0.000000   12.0000     0.3523
    7.750     0.000   1.617642   0.094227   0.016412   0.110639   0.000000   0.000000  -0.920213   0.000000   0.000000   12.0000     0.3507
    8.000     0.000   1.637300   0.096538   0.016431   0.112970   0.000000   0.000000  -0.927290   0.000000   0.000000   12.0000     0.3492
    8.250     0.000   1.656902   0.098871   0.016450   0.115321   0.000000   0.000000  -0.934331   0.000000   0.000000   12.0000     0.3476
    8.500     0.000   1.676448   0.101223   0.016529   0.117753   0.000000   0.000000  -0.941341   0.000000   0.000000   12.0000     0.3462
    8.750     0.000   1.695937   0.103596   0.016611   0.120207   0.000000   0.000000  -0.948316   0.000000   0.000000   12.0000     0.3448
    9.000     0.000   1.715369   0.105989   0.016711   0.122700   0.000000   0.000000  -0.955255   0.000000   0.000000   12.0000     0.3434
    9.250     0.000   1.734742   0.108401   0.016830   0.125232   0.000000   0.000000  -0.962160   0.000000   0.000000   12.0000     0.3420
    9.500     0.000   1.754056   0.110833   0.016944   0.127777   0.000000   0.000000  -0.969028   0.000000   0.000000   12.0000     0.3407
    9.750     0.000   1.773311   0.113283   0.017062   0.130345   0.000000   0.000000  -0.975858   0.000000   0.000000   12.0000     0.3394
   10.000     0.000   1.792506   0.115751   0.017183   0.132934   0.000000   0.000000  -0.982651   0.000000   0.000000   12.0000     0.3382
   10.250     0.000   1.811640   0.118238   0.017306   0.135543   0.000000   0.000000  -0.989405   0.000000   0.000000   12.0000     0.3369
   10.500     0.000   1.830713   0.120741   0.017434   0.138175   0.000000   0.000000  -0.996121   0.000000   0.000000   12.0000     0.3357
   10.750     0.000   1.849723   0.123262   0.017574   0.140837   0.000000   0.000000  -1.002798   0.000000   0.000000   12.0000     0.3346
   11.000     0.000   1.868671   0.125800   0.017715   0.143515   0.000000   0.000000  -1.009436  -0.000000   0.000000   12.0000     0.3334
   11.250     0.000   1.887556   0.128354   0.017855   0.146209   0.000000   0.000000  -1.016033   0.000000   0.000000   12.0000     0.3323
   11.500     0.000   1.906377   0.130924   0.017994   0.148918   0.000000   0.000000  -1.022589  -0.000000   0.000000   12.0000     0.3313
   11.750     0.000   1.925134   0.133509   0.018136   0.151645   0.000000   0.000000  -1.029104  -0.000000   0.000000   12.0000     0.3302
   12.000     0.000   1.943825   0.136110   0.018289   0.154398   0.000000   0.000000  -1.035578  -0.000000   0.000000   12.0000     0.3292
   12.250     0.000   1.962451   0.138725   0.018451   0.157176   0.000000   0.000000  -1.042010  -0.000000   0.000000   12.0000     0.3282
   12.500     0.000   1.981011   0.141354   0.018617   0.159970   0.000000   0.000000  -1.048400  -0.000000   0.000000   12.0000     0.3272
