xflr5 v6.57

Plane name :        R23_LR315_216in_AR_9,34
Polar name :        T1-12.0 m/s-VLM2
Freestream speed :  12.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000   0.564050   0.010898   0.046694   0.057592   0.000000   0.000000  -0.530412   0.000000   0.000000   12.0000     0.5776
   -4.500     0.000   0.607645   0.012647   0.041166   0.053813   0.000000   0.000000  -0.547876   0.000000   0.000000   12.0000     0.5525
   -4.000     0.000   0.651173   0.014525   0.036590   0.051115   0.000000   0.000000  -0.565255   0.000000   0.000000   12.0000     0.5308
   -3.500     0.000   0.694626   0.016532   0.032018   0.048550   0.000000   0.000000  -0.582578   0.000000   0.000000   12.0000     0.5118
   -3.000     0.000   0.737999   0.018666   0.027601   0.046267   0.000000   0.000000  -0.599836   0.000000   0.000000   12.0000     0.4951
   -2.500     0.000   0.781283   0.020927   0.025299   0.046226   0.000000   0.000000  -0.616995   0.000000   0.000000   12.0000     0.4802
   -2.000     0.000   0.824473   0.023313   0.020517   0.043831   0.000000   0.000000  -0.634126   0.000000   0.000000   12.0000     0.4670
   -1.500     0.000   0.867562   0.025824   0.019065   0.044889   0.000000   0.000000  -0.651150   0.000000   0.000000   12.0000     0.4550
   -1.000     0.000   0.910543   0.028458   0.018050   0.046507   0.000000   0.000000  -0.668103   0.000000   0.000000   12.0000     0.4442
   -0.500     0.000   0.953411   0.031213   0.017284   0.048498   0.000000   0.000000  -0.684989   0.000000   0.000000   12.0000     0.4344
    0.000     0.000   0.996157   0.034089   0.016558   0.050647   0.000000   0.000000  -0.701807   0.000000   0.000000   12.0000     0.4255
    0.500     0.000   1.038777   0.037084   0.016123   0.053207   0.000000   0.000000  -0.718553   0.000000   0.000000   12.0000     0.4173
    1.000     0.000   1.081263   0.040196   0.015792   0.055989   0.000000   0.000000  -0.735223   0.000000   0.000000   12.0000     0.4098
    1.500     0.000   1.123609   0.043424   0.015582   0.059006   0.000000   0.000000  -0.751814   0.000000   0.000000   12.0000     0.4029
    2.000     0.000   1.165809   0.046766   0.015429   0.062194   0.000000   0.000000  -0.768323   0.000000   0.000000   12.0000     0.3965
    2.500     0.000   1.207856   0.050219   0.015284   0.065503   0.000000   0.000000  -0.784743  -0.000000   0.000000   12.0000     0.3906
    3.000     0.000   1.249745   0.053782   0.015212   0.068994   0.000000   0.000000  -0.801071   0.000000   0.000000   12.0000     0.3851
    3.500     0.000   1.291469   0.057453   0.015320   0.072774   0.000000   0.000000  -0.817306  -0.000000   0.000000   12.0000     0.3799
    4.000     0.000   1.333022   0.061230   0.015476   0.076706   0.000000   0.000000  -0.833442   0.000000   0.000000   12.0000     0.3751
    4.500     0.000   1.374398   0.065110   0.015569   0.080679   0.000000   0.000000  -0.849469   0.000000   0.000000   12.0000     0.3706
    5.000     0.000   1.415592   0.069092   0.015686   0.084778   0.000000   0.000000  -0.865385   0.000000   0.000000   12.0000     0.3664
    5.500     0.000   1.456597   0.073172   0.015802   0.088974   0.000000   0.000000  -0.881186   0.000000   0.000000   12.0000     0.3625
    6.000     0.000   1.497407   0.077349   0.015912   0.093261   0.000000   0.000000  -0.896866   0.000000   0.000000   12.0000     0.3588
    6.500     0.000   1.538017   0.081619   0.016028   0.097647   0.000000   0.000000  -0.912420   0.000000   0.000000   12.0000     0.3553
    7.000     0.000   1.578421   0.085981   0.016145   0.102126   0.000000   0.000000  -0.927845   0.000000   0.000000   12.0000     0.3520
    7.500     0.000   1.618613   0.090431   0.016261   0.106691   0.000000   0.000000  -0.943135   0.000000   0.000000   12.0000     0.3489
    8.000     0.000   1.658588   0.094967   0.016311   0.111277   0.000000   0.000000  -0.958284   0.000000   0.000000   12.0000     0.3459
    8.500     0.000   1.698341   0.099585   0.016419   0.116005   0.000000   0.000000  -0.973290   0.000000   0.000000   12.0000     0.3432
    9.000     0.000   1.737866   0.104284   0.016622   0.120906   0.000000   0.000000  -0.988152   0.000000   0.000000   12.0000     0.3405
    9.500     0.000   1.777158   0.109060   0.016870   0.125930   0.000000   0.000000  -1.002864   0.000000   0.000000   12.0000     0.3380
   10.000     0.000   1.816211   0.113909   0.017114   0.131024   0.000000   0.000000  -1.017420   0.000000   0.000000   12.0000     0.3356
   10.500     0.000   1.855021   0.118830   0.017379   0.136209   0.000000   0.000000  -1.031816  -0.000000   0.000000   12.0000     0.3334
   11.000     0.000   1.893583   0.123818   0.017677   0.141495   0.000000   0.000000  -1.046049  -0.000000   0.000000   12.0000     0.3313
   11.500     0.000   1.931891   0.128871   0.017975   0.146846   0.000000   0.000000  -1.060113  -0.000000   0.000000   12.0000     0.3292
   12.000     0.000   1.969942   0.133985   0.018293   0.152278   0.000000   0.000000  -1.074005  -0.000000   0.000000   12.0000     0.3273
