xflr5 v6.57

Plane name :        R23_MW01_216in_AR_14,01
Polar name :        T1-12.0 m/s-VLM2
Freestream speed :  12.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -12.000     0.000  -0.109791   0.000347   0.157545   0.157892  -0.000000  -0.000000  -0.259861  -0.000000   0.000000   12.0000    -1.0285
  -11.500     0.000  -0.062695   0.000162   0.151963   0.152125  -0.000000  -0.000000  -0.278283  -0.000000   0.000000   12.0000    -1.9133
  -11.000     0.000  -0.015572   0.000078   0.146186   0.146264  -0.000000  -0.000000  -0.296750  -0.000000   0.000000   12.0000    -8.1539
  -10.500     0.000   0.031573   0.000094   0.134997   0.135090   0.000000   0.000000  -0.315497   0.000000   0.000000   12.0000     4.2436
  -10.000     0.000   0.078733   0.000211   0.119056   0.119267   0.000000   0.000000  -0.334608   0.000000   0.000000   12.0000     1.7906
   -9.500     0.000   0.125901   0.000430   0.109534   0.109964   0.000000   0.000000  -0.353245   0.000000   0.000000   12.0000     1.1753
   -9.000     0.000   0.173073   0.000751   0.100169   0.100920   0.000000   0.000000  -0.371883   0.000000   0.000000   12.0000     0.8953
   -8.500     0.000   0.220240   0.001174   0.093895   0.095070   0.000000   0.000000  -0.390292   0.000000  -0.000000   12.0000     0.7352
   -8.000     0.000   0.267398   0.001700   0.088250   0.089950   0.000000   0.000000  -0.408658   0.000000  -0.000000   12.0000     0.6315
   -7.500     0.000   0.314540   0.002328   0.082984   0.085312   0.000000   0.000000  -0.426987   0.000000   0.000000   12.0000     0.5589
   -7.000     0.000   0.361659   0.003059   0.076521   0.079580   0.000000   0.000000  -0.445337   0.000000   0.000000   12.0000     0.5053
   -6.500     0.000   0.408750   0.003892   0.068593   0.072485   0.000000   0.000000  -0.463713   0.000000   0.000000   12.0000     0.4640
   -6.000     0.000   0.455805   0.004828   0.059298   0.064126   0.000000   0.000000  -0.482097   0.000000   0.000000   12.0000     0.4312
   -5.500     0.000   0.502819   0.005866   0.050535   0.056400   0.000000   0.000000  -0.500423   0.000000   0.000000   12.0000     0.4046
   -5.000     0.000   0.549786   0.007006   0.043721   0.050727   0.000000   0.000000  -0.518632   0.000000   0.000000   12.0000     0.3825
   -4.500     0.000   0.596699   0.008247   0.038311   0.046558   0.000000   0.000000  -0.536741   0.000000   0.000000   12.0000     0.3639
   -4.000     0.000   0.643552   0.009589   0.033214   0.042803   0.000000   0.000000  -0.554783   0.000000   0.000000   12.0000     0.3480
   -3.500     0.000   0.690338   0.011032   0.028678   0.039710   0.000000   0.000000  -0.572757   0.000000   0.000000   12.0000     0.3343
   -3.000     0.000   0.737053   0.012575   0.024751   0.037326   0.000000   0.000000  -0.590662   0.000000   0.000000   12.0000     0.3224
   -2.500     0.000   0.783688   0.014217   0.022237   0.036454   0.000000   0.000000  -0.608486   0.000000   0.000000   12.0000     0.3118
   -2.000     0.000   0.830239   0.015958   0.019852   0.035809   0.000000   0.000000  -0.626249   0.000000   0.000000   12.0000     0.3025
   -1.500     0.000   0.876699   0.017796   0.018151   0.035947   0.000000   0.000000  -0.643945   0.000000   0.000000   12.0000     0.2942
   -1.000     0.000   0.923061   0.019731   0.017049   0.036780   0.000000   0.000000  -0.661575   0.000000   0.000000   12.0000     0.2867
   -0.500     0.000   0.969321   0.021762   0.016339   0.038101   0.000000   0.000000  -0.679139   0.000000   0.000000   12.0000     0.2799
    0.000     0.000   1.015471   0.023888   0.015859   0.039747   0.000000   0.000000  -0.696636   0.000000   0.000000   12.0000     0.2738
    0.500     0.000   1.061506   0.026107   0.015562   0.041670   0.000000   0.000000  -0.714065   0.000000   0.000000   12.0000     0.2682
    1.000     0.000   1.107420   0.028419   0.015396   0.043816   0.000000   0.000000  -0.731420   0.000000   0.000000   12.0000     0.2631
    1.500     0.000   1.153207   0.030823   0.015419   0.046242   0.000000   0.000000  -0.748698   0.000000   0.000000   12.0000     0.2584
    2.000     0.000   1.198860   0.033316   0.015596   0.048912   0.000000   0.000000  -0.765897   0.000000   0.000000   12.0000     0.2540
    2.500     0.000   1.244375   0.035897   0.015858   0.051755   0.000000   0.000000  -0.783011  -0.000000   0.000000   12.0000     0.2500
    3.000     0.000   1.289744   0.038566   0.016119   0.054684   0.000000   0.000000  -0.800034  -0.000000   0.000000   12.0000     0.2463
    3.500     0.000   1.334963   0.041320   0.016379   0.057699   0.000000   0.000000  -0.816962  -0.000000   0.000000   12.0000     0.2428
    4.000     0.000   1.380026   0.044157   0.016667   0.060824   0.000000   0.000000  -0.833789  -0.000000   0.000000   12.0000     0.2396
    4.500     0.000   1.424927   0.047077   0.016961   0.064038   0.000000   0.000000  -0.850511  -0.000000   0.000000   12.0000     0.2366
    5.000     0.000   1.469660   0.050078   0.017271   0.067348   0.000000   0.000000  -0.867122  -0.000000   0.000000   12.0000     0.2338
    5.500     0.000   1.514220   0.053157   0.017597   0.070754   0.000000   0.000000  -0.883618  -0.000000   0.000000   12.0000     0.2312
    6.000     0.000   1.558600   0.056312   0.017966   0.074278   0.000000   0.000000  -0.899995  -0.000000   0.000000   12.0000     0.2287
    6.500     0.000   1.602797   0.059543   0.018312   0.077855   0.000000   0.000000  -0.916245  -0.000000   0.000000   12.0000     0.2264
    7.000     0.000   1.646804   0.062846   0.018702   0.081549   0.000000   0.000000  -0.932367  -0.000000   0.000000   12.0000     0.2242
    7.500     0.000   1.690616   0.066220   0.019098   0.085319   0.000000   0.000000  -0.948355  -0.000000   0.000000   12.0000     0.2221
    8.000     0.000   1.734228   0.069663   0.019494   0.089157   0.000000   0.000000  -0.964202  -0.000000   0.000000   12.0000     0.2201
    8.500     0.000   1.777634   0.073172   0.019891   0.093063   0.000000   0.000000  -0.979905  -0.000000   0.000000   12.0000     0.2183
    9.000     0.000   1.820829   0.076746   0.020369   0.097115   0.000000   0.000000  -0.995463  -0.000000   0.000000   12.0000     0.2165
    9.500     0.000   1.863809   0.080381   0.020930   0.101311   0.000000   0.000000  -1.010871  -0.000000   0.000000   12.0000     0.2148
   10.000     0.000   1.906568   0.084077   0.021547   0.105623   0.000000   0.000000  -1.026125  -0.000000   0.000000   12.0000     0.2133
   10.500     0.000   1.949100   0.087829   0.022240   0.110069   0.000000   0.000000  -1.041222  -0.000000   0.000000   12.0000     0.2118
   11.000     0.000   1.991403   0.091637   0.022973   0.114610   0.000000   0.000000  -1.056155  -0.000000   0.000000   12.0000     0.2103
   11.500     0.000   2.033470   0.095497   0.023751   0.119248   0.000000   0.000000  -1.070921  -0.000000   0.000000   12.0000     0.2090
   12.000     0.000   2.075296   0.099407   0.024631   0.124038   0.000000   0.000000  -1.085519  -0.000000   0.000000   12.0000     0.2077
   12.500     0.000   2.116878   0.103364   0.025550   0.128914   0.000000   0.000000  -1.099942  -0.000000   0.000000   12.0000     0.2064
   13.000     0.000   2.158210   0.107366   0.026625   0.133992   0.000000   0.000000  -1.114193  -0.000000   0.000000   12.0000     0.2052
   13.500     0.000   2.199289   0.111411   0.027836   0.139247   0.000000   0.000000  -1.128269  -0.000000   0.000000   12.0000     0.2041
