xflr5 v6.57

Plane name :        R23_PP02_8%c_216in_AR_14,01_v2
Polar name :        T1-12.0 m/s-VLM2
Freestream speed :  12.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -15.000     0.000  -0.234241   0.001238   0.169543   0.170781   0.000000  -0.000000  -0.234099  -0.000000   0.000000   12.0000    -0.4512
  -14.750     0.000  -0.210633   0.001010   0.163583   0.164592   0.000000  -0.000000  -0.243587  -0.000000   0.000000   12.0000    -0.5187
  -14.500     0.000  -0.187013   0.000806   0.158789   0.159595   0.000000  -0.000000  -0.252984  -0.000000   0.000000   12.0000    -0.6032
  -14.250     0.000  -0.163381   0.000627   0.153532   0.154159   0.000000  -0.000000  -0.262425  -0.000000   0.000000   12.0000    -0.7122
  -14.000     0.000  -0.139738   0.000473   0.149128   0.149601   0.000000  -0.000000  -0.271780  -0.000000   0.000000   12.0000    -0.8581
  -13.750     0.000  -0.116085   0.000344   0.145324   0.145668   0.000000  -0.000000  -0.281089  -0.000000   0.000000   12.0000    -1.0636
  -13.500     0.000  -0.092422   0.000240   0.140410   0.140649   0.000000  -0.000000  -0.290485  -0.000000   0.000000   12.0000    -1.3743
  -13.250     0.000  -0.068751   0.000160   0.135457   0.135617   0.000000  -0.000000  -0.299884  -0.000000   0.000000   12.0000    -1.8991
  -13.000     0.000  -0.045072   0.000106   0.130511   0.130617   0.000000  -0.000000  -0.309309  -0.000000   0.000000   12.0000    -2.9754
  -12.750     0.000  -0.021386   0.000077   0.124002   0.124079   0.000000  -0.000000  -0.318857  -0.000000   0.000000   12.0000    -6.4364
  -12.500     0.000   0.002306   0.000073   0.117750   0.117823  -0.000000  -0.000000  -0.328386  -0.000000   0.000000   12.0000    61.2214
  -12.250     0.000   0.026004   0.000095   0.109146   0.109241  -0.000000   0.000000  -0.338062  -0.000000   0.000000   12.0000     5.5655
  -12.000     0.000   0.049707   0.000142   0.096870   0.097012  -0.000000   0.000000  -0.348006   0.000000   0.000000   12.0000     2.9827
  -11.750     0.000   0.073413   0.000214   0.090713   0.090927  -0.000000   0.000000  -0.357499   0.000000   0.000000   12.0000     2.0676
  -11.500     0.000   0.097123   0.000313   0.085203   0.085515  -0.000000   0.000000  -0.366939   0.000000   0.000000   12.0000     1.5992
  -11.250     0.000   0.120835   0.000436   0.077415   0.077851  -0.000000   0.000000  -0.376538   0.000000   0.000000   12.0000     1.3145
  -11.000     0.000   0.144548   0.000586   0.072738   0.073323  -0.000000   0.000000  -0.385913   0.000000  -0.000000   12.0000     1.1233
  -10.750     0.000   0.168262   0.000761   0.063617   0.064377  -0.000000   0.000000  -0.395520   0.000000   0.000000   12.0000     0.9859
  -10.500     0.000   0.191977   0.000961   0.054427   0.055389  -0.000000   0.000000  -0.405117   0.000000   0.000000   12.0000     0.8824
  -10.250     0.000   0.215690   0.001188   0.047371   0.048559  -0.000000   0.000000  -0.414590   0.000000  -0.000000   12.0000     0.8017
  -10.000     0.000   0.239402   0.001440   0.042787   0.044227  -0.000000   0.000000  -0.423925   0.000000   0.000000   12.0000     0.7369
   -9.750     0.000   0.263112   0.001718   0.039909   0.041628  -0.000000   0.000000  -0.433161   0.000000   0.000000   12.0000     0.6838
   -9.500     0.000   0.286818   0.002022   0.037308   0.039331  -0.000000   0.000000  -0.442387   0.000000   0.000000   12.0000     0.6395
   -9.250     0.000   0.310520   0.002352   0.034413   0.036765  -0.000000   0.000000  -0.451620   0.000000   0.000000   12.0000     0.6020
   -9.000     0.000   0.334218   0.002708   0.032434   0.035142  -0.000000   0.000000  -0.460787   0.000000   0.000000   12.0000     0.5698
   -8.750     0.000   0.357910   0.003090   0.030802   0.033892  -0.000000   0.000000  -0.469929   0.000000   0.000000   12.0000     0.5418
   -8.500     0.000   0.381596   0.003497   0.029274   0.032771  -0.000000   0.000000  -0.479065   0.000000   0.000000   12.0000     0.5173
   -8.250     0.000   0.405275   0.003931   0.027681   0.031612  -0.000000   0.000000  -0.488200   0.000000   0.000000   12.0000     0.4957
   -8.000     0.000   0.428945   0.004390   0.026241   0.030631  -0.000000   0.000000  -0.497324   0.000000   0.000000   12.0000     0.4764
   -7.750     0.000   0.452608   0.004875   0.024633   0.029508  -0.000000   0.000000  -0.506460   0.000000   0.000000   12.0000     0.4592
   -7.500     0.000   0.476260   0.005386   0.023062   0.028448  -0.000000   0.000000  -0.515593   0.000000   0.000000   12.0000     0.4437
   -7.250     0.000   0.499902   0.005923   0.021510   0.027433  -0.000000   0.000000  -0.524721   0.000000   0.000000   12.0000     0.4297
   -7.000     0.000   0.523534   0.006486   0.019974   0.026460  -0.000000   0.000000  -0.533845   0.000000   0.000000   12.0000     0.4169
   -6.750     0.000   0.547153   0.007074   0.018482   0.025556  -0.000000   0.000000  -0.542963   0.000000   0.000000   12.0000     0.4052
   -6.500     0.000   0.570760   0.007688   0.017449   0.025137  -0.000000   0.000000  -0.552061   0.000000   0.000000   12.0000     0.3945
   -6.250     0.000   0.594353   0.008328   0.016644   0.024972  -0.000000   0.000000  -0.561147   0.000000   0.000000   12.0000     0.3847
   -6.000     0.000   0.617932   0.008993   0.016128   0.025121  -0.000000   0.000000  -0.570215   0.000000   0.000000   12.0000     0.3756
   -5.750     0.000   0.641496   0.009684   0.015663   0.025347  -0.000000   0.000000  -0.579277   0.000000   0.000000   12.0000     0.3671
   -5.500     0.000   0.665045   0.010401   0.015367   0.025768  -0.000000   0.000000  -0.588328   0.000000   0.000000   12.0000     0.3593
   -5.250     0.000   0.688576   0.011143   0.015121   0.026264  -0.000000   0.000000  -0.597371   0.000000   0.000000   12.0000     0.3520
   -5.000     0.000   0.712091   0.011910   0.014879   0.026790  -0.000000   0.000000  -0.606410   0.000000   0.000000   12.0000     0.3452
   -4.750     0.000   0.735587   0.012703   0.014653   0.027356  -0.000000   0.000000  -0.615443   0.000000   0.000000   12.0000     0.3388
   -4.500     0.000   0.759064   0.013521   0.014427   0.027948  -0.000000   0.000000  -0.624470   0.000000   0.000000   12.0000     0.3329
   -4.250     0.000   0.782522   0.014364   0.014187   0.028551  -0.000000   0.000000  -0.633490   0.000000   0.000000   12.0000     0.3272
   -4.000     0.000   0.805959   0.015232   0.013935   0.029167  -0.000000   0.000000  -0.642503   0.000000   0.000000   12.0000     0.3220
   -3.750     0.000   0.829375   0.016125   0.013809   0.029934  -0.000000   0.000000  -0.651505   0.000000   0.000000   12.0000     0.3170
   -3.500     0.000   0.852769   0.017043   0.013773   0.030817  -0.000000   0.000000  -0.660497   0.000000   0.000000   12.0000     0.3123
   -3.250     0.000   0.876140   0.017986   0.013782   0.031768  -0.000000   0.000000  -0.669479   0.000000   0.000000   12.0000     0.3078
   -3.000     0.000   0.899487   0.018954   0.013814   0.032768  -0.000000   0.000000  -0.678451   0.000000   0.000000   12.0000     0.3036
   -2.750     0.000   0.922810   0.019946   0.013866   0.033812  -0.000000   0.000000  -0.687413   0.000000   0.000000   12.0000     0.2996
   -2.500     0.000   0.946108   0.020962   0.013929   0.034891  -0.000000   0.000000  -0.696364   0.000000   0.000000   12.0000     0.2958
   -2.250     0.000   0.969380   0.022003   0.013990   0.035993  -0.000000   0.000000  -0.705303   0.000000   0.000000   12.0000     0.2922
   -2.000     0.000   0.992626   0.023068   0.014044   0.037112  -0.000000   0.000000  -0.714231   0.000000   0.000000   12.0000     0.2887
   -1.750     0.000   1.015844   0.024157   0.014097   0.038254  -0.000000   0.000000  -0.723147   0.000000   0.000000   12.0000     0.2854
   -1.500     0.000   1.039033   0.025270   0.014150   0.039421  -0.000000   0.000000  -0.732049   0.000000   0.000000   12.0000     0.2823
   -1.250     0.000   1.062194   0.026407   0.014210   0.040617  -0.000000   0.000000  -0.740937   0.000000   0.000000   12.0000     0.2793
   -1.000     0.000   1.085325   0.027567   0.014278   0.041845  -0.000000   0.000000  -0.749811  -0.000000   0.000000   12.0000     0.2764
