xflr5 v6.57

Plane name :, R23_12ms_14kg
Polar name :, T1-12.0 m/s-VLM2
Freestream speed :, 12.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -10.000,     0.000,   0.079438,   0.004751,   0.109172,   0.113923,   0.000000,   0.000000,   0.099784,   0.000000,   0.000000,   12.0000,   -0.1957
   -9.500,     0.000,   0.129132,   0.004759,   0.100669,   0.105428,   0.000000,   0.000000,   0.093521,   0.000000,   0.000000,   12.0000,   -0.0308
   -9.000,     0.000,   0.178834,   0.004878,   0.091808,   0.096686,   0.000000,   0.000000,   0.086900,   0.000000,   0.000000,   12.0000,    0.0425
   -8.500,     0.000,   0.228537,   0.005109,   0.083519,   0.088628,   0.000000,   0.000000,   0.080061,   0.000000,   0.000000,   12.0000,    0.0839
   -8.000,     0.000,   0.278234,   0.005452,   0.075053,   0.080504,   0.000000,   0.000000,   0.072924,   0.000000,   0.000000,   12.0000,    0.1105
   -7.500,     0.000,   0.327919,   0.005907,   0.067096,   0.073002,   0.000000,   0.000000,   0.065582,   0.000000,   0.000000,   12.0000,    0.1290
   -7.000,     0.000,   0.377585,   0.006473,   0.059613,   0.066086,   0.000000,   0.000000,   0.058182,   0.000000,   0.000000,   12.0000,    0.1427
   -6.500,     0.000,   0.427225,   0.007153,   0.051744,   0.058897,   0.000000,   0.000000,   0.050305,   0.000000,   0.000000,   12.0000,    0.1532
   -6.000,     0.000,   0.476833,   0.007944,   0.044964,   0.052908,   0.000000,   0.000000,   0.042434,   0.000000,   0.000000,   12.0000,    0.1615
   -5.500,     0.000,   0.526401,   0.008848,   0.040001,   0.048849,   0.000000,   0.000000,   0.034494,   0.000000,   0.000000,   12.0000,    0.1682
   -5.000,     0.000,   0.575924,   0.009863,   0.036532,   0.046395,   0.000000,   0.000000,   0.026416,   0.000000,   0.000000,   12.0000,    0.1738
   -4.500,     0.000,   0.625393,   0.010991,   0.033360,   0.044351,   0.000000,   0.000000,   0.018164,   0.000000,   0.000000,   12.0000,    0.1785
   -4.000,     0.000,   0.674804,   0.012230,   0.030597,   0.042826,   0.000000,   0.000000,   0.009754,   0.000000,   0.000000,   12.0000,    0.1825
   -3.500,     0.000,   0.724148,   0.013579,   0.028388,   0.041967,   0.000000,   0.000000,   0.001184,   0.000000,   0.000000,   12.0000,    0.1860
   -3.000,     0.000,   0.773419,   0.015039,   0.027013,   0.042052,   0.000000,   0.000000,  -0.007448,   0.000000,   0.000000,   12.0000,    0.1890
   -2.500,     0.000,   0.822611,   0.016609,   0.025257,   0.041866,   0.000000,   0.000000,  -0.016363,   0.000000,   0.000000,   12.0000,    0.1917
   -2.000,     0.000,   0.871717,   0.018288,   0.023548,   0.041836,   0.000000,   0.000000,  -0.025484,   0.000000,   0.000000,   12.0000,    0.1941
   -1.500,     0.000,   0.920730,   0.020075,   0.021927,   0.042003,   0.000000,   0.000000,  -0.034797,   0.000000,   0.000000,   12.0000,    0.1962
   -1.000,     0.000,   0.969643,   0.021970,   0.020422,   0.042392,   0.000000,   0.000000,  -0.044283,   0.000000,   0.000000,   12.0000,    0.1981
   -0.500,     0.000,   1.018451,   0.023971,   0.019302,   0.043274,   0.000000,   0.000000,  -0.053904,   0.000000,   0.000000,   12.0000,    0.1999
    0.000,     0.000,   1.067146,   0.026078,   0.018717,   0.044795,   0.000000,   0.000000,  -0.063667,   0.000000,   0.000000,   12.0000,    0.2015
    0.500,     0.000,   1.115723,   0.028289,   0.018188,   0.046477,   0.000000,   0.000000,  -0.073614,   0.000000,   0.000000,   12.0000,    0.2029
    1.000,     0.000,   1.164174,   0.030603,   0.017789,   0.048392,   0.000000,   0.000000,  -0.083716,   0.000000,   0.000000,   12.0000,    0.2043
    1.500,     0.000,   1.212493,   0.033020,   0.017496,   0.050516,   0.000000,   0.000000,  -0.093987,   0.000000,   0.000000,   12.0000,    0.2055
    2.000,     0.000,   1.260674,   0.035536,   0.017285,   0.052821,   0.000000,   0.000000,  -0.104444,   0.000000,   0.000000,   12.0000,    0.2067
    2.500,     0.000,   1.308710,   0.038152,   0.017213,   0.055365,   0.000000,   0.000000,  -0.115049,   0.000000,   0.000000,   12.0000,    0.2077
    3.000,     0.000,   1.356596,   0.040866,   0.017248,   0.058114,   0.000000,   0.000000,  -0.125816,   0.000000,   0.000000,   12.0000,    0.2087
    3.500,     0.000,   1.404324,   0.043675,   0.017389,   0.061064,   0.000000,   0.000000,  -0.136745,   0.000000,   0.000000,   12.0000,    0.2097
    4.000,     0.000,   1.451889,   0.046579,   0.017628,   0.064207,   0.000000,   0.000000,  -0.147838,   0.000000,   0.000000,   12.0000,    0.2106
