xflr5 v6.57

Plane name :        R23_HS_AG24_216in_AR_12,01
Polar name :        T1-12.0 m/s-VLM2
Freestream speed :  12.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.820069   0.049588   0.009278   0.058867   0.000000  -0.000000   0.313023   0.000000  -0.000000   12.0000     0.0952
   -9.750     0.000  -0.804533   0.047722   0.009390   0.057113   0.000000  -0.000000   0.308675   0.000000  -0.000000   12.0000     0.0957
   -9.500     0.000  -0.788960   0.045888   0.009658   0.055546   0.000000  -0.000000   0.304318   0.000000   0.000000   12.0000     0.0961
   -9.250     0.000  -0.773349   0.044086   0.010526   0.054612   0.000000  -0.000000   0.299974   0.000000  -0.000000   12.0000     0.0966
   -9.000     0.000  -0.757703   0.042317   0.010722   0.053039   0.000000  -0.000000   0.295580  -0.000000  -0.000000   12.0000     0.0971
   -8.750     0.000  -0.742020   0.040580   0.010503   0.051083   0.000000  -0.000000   0.291150  -0.000000  -0.000000   12.0000     0.0976
   -8.500     0.000  -0.726303   0.038876   0.010295   0.049171   0.000000  -0.000000   0.286706  -0.000000  -0.000000   12.0000     0.0982
   -8.250     0.000  -0.710551   0.037205   0.010096   0.047302   0.000000  -0.000000   0.282249  -0.000000  -0.000000   12.0000     0.0988
   -8.000     0.000  -0.694766   0.035568   0.009907   0.045475   0.000000  -0.000000   0.277778  -0.000000  -0.000000   12.0000     0.0994
   -7.750     0.000  -0.678948   0.033965   0.009727   0.043692   0.000000  -0.000000   0.273294  -0.000000  -0.000000   12.0000     0.1000
   -7.500     0.000  -0.663098   0.032396   0.009555   0.041950   0.000000  -0.000000   0.268797  -0.000000   0.000000   12.0000     0.1007
   -7.250     0.000  -0.647217   0.030861   0.009390   0.040251   0.000000  -0.000000   0.264288  -0.000000   0.000000   12.0000     0.1014
   -7.000     0.000  -0.631306   0.029361   0.009233   0.038594   0.000000  -0.000000   0.259766  -0.000000   0.000000   12.0000     0.1021
   -6.750     0.000  -0.615365   0.027896   0.009084   0.036980   0.000000  -0.000000   0.255232  -0.000000   0.000000   12.0000     0.1029
   -6.500     0.000  -0.599395   0.026467   0.008941   0.035408   0.000000  -0.000000   0.250687  -0.000000   0.000000   12.0000     0.1038
   -6.250     0.000  -0.583397   0.025072   0.008806   0.033879   0.000000  -0.000000   0.246130  -0.000000   0.000000   12.0000     0.1046
   -6.000     0.000  -0.567372   0.023714   0.008679   0.032392   0.000000  -0.000000   0.241562  -0.000000   0.000000   12.0000     0.1056
   -5.750     0.000  -0.551320   0.022391   0.008558   0.030949   0.000000  -0.000000   0.236983  -0.000000   0.000000   12.0000     0.1066
   -5.500     0.000  -0.535242   0.021104   0.008444   0.029549   0.000000  -0.000000   0.232394  -0.000000   0.000000   12.0000     0.1076
   -5.250     0.000  -0.519139   0.019854   0.008339   0.028193   0.000000  -0.000000   0.227795  -0.000000   0.000000   12.0000     0.1088
   -5.000     0.000  -0.503013   0.018641   0.008241   0.026882   0.000000  -0.000000   0.223186  -0.000000   0.000000   12.0000     0.1100
   -4.750     0.000  -0.486862   0.017464   0.008150   0.025614   0.000000  -0.000000   0.218568  -0.000000  -0.000000   12.0000     0.1112
   -4.500     0.000  -0.470690   0.016325   0.008067   0.024392   0.000000  -0.000000   0.213941  -0.000000  -0.000000   12.0000     0.1126
   -4.250     0.000  -0.454495   0.015222   0.007991   0.023213  -0.000000  -0.000000   0.209304  -0.000000  -0.000000   12.0000     0.1141
   -4.000     0.000  -0.438279   0.014157   0.007923   0.022080  -0.000000  -0.000000   0.204660  -0.000000  -0.000000   12.0000     0.1157
