xflr5 v6.57

Plane name :        R23_LR315_168in_AR_8,06
Polar name :        T1-12.0 m/s-VLM2
Freestream speed :  12.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000   0.549312   0.011951   0.050833   0.062784   0.000000   0.000000  -0.522633   0.000000   0.000000   12.0000     0.5261
   -4.500     0.000   0.591338   0.013849   0.045764   0.059613   0.000000   0.000000  -0.539375   0.000000   0.000000   12.0000     0.5032
   -4.000     0.000   0.633296   0.015886   0.041502   0.057388   0.000000   0.000000  -0.556039   0.000000   0.000000   12.0000     0.4833
   -3.500     0.000   0.675179   0.018061   0.037115   0.055176   0.000000   0.000000  -0.572646   0.000000   0.000000   12.0000     0.4659
   -3.000     0.000   0.716979   0.020373   0.032450   0.052823   0.000000   0.000000  -0.589197   0.000000   0.000000   12.0000     0.4506
   -2.500     0.000   0.758691   0.022820   0.029155   0.051975   0.000000   0.000000  -0.605658   0.000000   0.000000   12.0000     0.4369
   -2.000     0.000   0.800307   0.025403   0.024185   0.049588   0.000000   0.000000  -0.622075   0.000000   0.000000   12.0000     0.4247
   -1.500     0.000   0.841820   0.028119   0.021405   0.049524   0.000000   0.000000  -0.638396   0.000000   0.000000   12.0000     0.4138
   -1.000     0.000   0.883225   0.030967   0.020017   0.050984   0.000000   0.000000  -0.654634   0.000000   0.000000   12.0000     0.4039
   -0.500     0.000   0.924514   0.033946   0.018826   0.052771   0.000000   0.000000  -0.670803   0.000000   0.000000   12.0000     0.3949
    0.000     0.000   0.965680   0.037054   0.017794   0.054847   0.000000   0.000000  -0.686901   0.000000   0.000000   12.0000     0.3866
    0.500     0.000   1.006718   0.040289   0.017141   0.057430   0.000000   0.000000  -0.702925   0.000000   0.000000   12.0000     0.3791
    1.000     0.000   1.047620   0.043651   0.016779   0.060429   0.000000   0.000000  -0.718874  -0.000000   0.000000   12.0000     0.3722
    1.500     0.000   1.088381   0.047136   0.016407   0.063543   0.000000   0.000000  -0.734744   0.000000   0.000000   12.0000     0.3658
    2.000     0.000   1.128993   0.050744   0.016207   0.066950   0.000000   0.000000  -0.750533   0.000000   0.000000   12.0000     0.3599
    2.500     0.000   1.169450   0.054471   0.016054   0.070525   0.000000   0.000000  -0.766235  -0.000000   0.000000   12.0000     0.3545
    3.000     0.000   1.209746   0.058316   0.015846   0.074162   0.000000   0.000000  -0.781845  -0.000000   0.000000   12.0000     0.3494
    3.500     0.000   1.249876   0.062277   0.016008   0.078285   0.000000   0.000000  -0.797367  -0.000000   0.000000   12.0000     0.3447
    4.000     0.000   1.289831   0.066352   0.016146   0.082498   0.000000   0.000000  -0.812790   0.000000   0.000000   12.0000     0.3402
    4.500     0.000   1.329608   0.070537   0.016202   0.086739   0.000000   0.000000  -0.828106   0.000000   0.000000   12.0000     0.3361
    5.000     0.000   1.369199   0.074831   0.016284   0.091115   0.000000   0.000000  -0.843315   0.000000   0.000000   12.0000     0.3322
    5.500     0.000   1.408598   0.079231   0.016392   0.095623   0.000000   0.000000  -0.858411   0.000000   0.000000   12.0000     0.3286
    6.000     0.000   1.447800   0.083734   0.016511   0.100245   0.000000   0.000000  -0.873390   0.000000   0.000000   12.0000     0.3252
    6.500     0.000   1.486799   0.088337   0.016630   0.104967   0.000000   0.000000  -0.888248   0.000000   0.000000   12.0000     0.3220
    7.000     0.000   1.525588   0.093039   0.016745   0.109783   0.000000   0.000000  -0.902978   0.000000   0.000000   12.0000     0.3189
    7.500     0.000   1.564164   0.097835   0.016851   0.114685   0.000000   0.000000  -0.917577   0.000000   0.000000   12.0000     0.3161
    8.000     0.000   1.602519   0.102723   0.016935   0.119657   0.000000   0.000000  -0.932040   0.000000   0.000000   12.0000     0.3134
