xflr5 v6.57

Plane name :, R23_12ms_14kg_HS_update
Polar name :, T1-12.0 m/s-VLM2
Freestream speed :, 12.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -13.000,     0.000,  -0.254902,   0.009120,   0.182291,   0.191410,  -0.000000,  -0.000000,   0.327034,   0.000000,  -0.000000,   12.0000,    0.6545
  -12.500,     0.000,  -0.204498,   0.008322,   0.170919,   0.179241,  -0.000000,  -0.000000,   0.317455,   0.000000,  -0.000000,   12.0000,    0.7491
  -12.000,     0.000,  -0.154040,   0.007635,   0.158931,   0.166566,  -0.000000,  -0.000000,   0.307389,   0.000000,  -0.000000,   12.0000,    0.9060
  -11.500,     0.000,  -0.103535,   0.007061,   0.145050,   0.152110,  -0.000000,  -0.000000,   0.296452,   0.000000,  -0.000000,   12.0000,    1.2161
  -11.000,     0.000,  -0.052989,   0.006599,   0.129495,   0.136095,  -0.000000,  -0.000000,   0.285801,   0.000000,  -0.000000,   12.0000,    2.1183
  -10.500,     0.000,  -0.002408,   0.006252,   0.119603,   0.125855,  -0.000000,  -0.000000,   0.275293,   0.000000,  -0.000000,   12.0000,   40.9283
  -10.000,     0.000,   0.048199,   0.006020,   0.109856,   0.115876,   0.000000,   0.000000,   0.264638,   0.000000,   0.000000,   12.0000,   -1.7614
   -9.500,     0.000,   0.098826,   0.005903,   0.101342,   0.107245,   0.000000,   0.000000,   0.253828,   0.000000,   0.000000,   12.0000,   -0.7206
   -9.000,     0.000,   0.149466,   0.005901,   0.092493,   0.098394,   0.000000,   0.000000,   0.242629,   0.000000,   0.000000,   12.0000,   -0.3849
   -8.500,     0.000,   0.200113,   0.006017,   0.084058,   0.090075,   0.000000,   0.000000,   0.231142,   0.000000,   0.000000,   12.0000,   -0.2190
   -8.000,     0.000,   0.250759,   0.006249,   0.075556,   0.081806,   0.000000,   0.000000,   0.219324,   0.000000,   0.000000,   12.0000,   -0.1202
   -7.500,     0.000,   0.301397,   0.006599,   0.067609,   0.074208,   0.000000,   0.000000,   0.207260,   0.000000,   0.000000,   12.0000,   -0.0545
   -7.000,     0.000,   0.352021,   0.007066,   0.060090,   0.067157,   0.000000,   0.000000,   0.195084,   0.000000,   0.000000,   12.0000,   -0.0078
   -6.500,     0.000,   0.402623,   0.007651,   0.052187,   0.059838,   0.000000,   0.000000,   0.182388,   0.000000,   0.000000,   12.0000,    0.0272
   -6.000,     0.000,   0.453197,   0.008354,   0.045383,   0.053737,   0.000000,   0.000000,   0.169655,   0.000000,   0.000000,   12.0000,    0.0544
   -5.500,     0.000,   0.503736,   0.009174,   0.040356,   0.049530,   0.000000,   0.000000,   0.156809,   0.000000,   0.000000,   12.0000,    0.0761
   -5.000,     0.000,   0.554232,   0.010112,   0.036870,   0.046982,   0.000000,   0.000000,   0.143785,   0.000000,   0.000000,   12.0000,    0.0939
   -4.500,     0.000,   0.604679,   0.011168,   0.033681,   0.044848,   0.000000,   0.000000,   0.130547,   0.000000,   0.000000,   12.0000,    0.1087
   -4.000,     0.000,   0.655070,   0.012340,   0.030892,   0.043232,   0.000000,   0.000000,   0.117112,   0.000000,   0.000000,   12.0000,    0.1213
